EventType,StartFrame,EndFrame
GazeShift,166,174
GazeShift,234,256
GazeShift,267,297
GazeShift,302,317
GazeShift,323,334
GazeShift,356,363
GazeShift,379,396
GazeShift,405,418
GazeShift,423,441
GazeShift,447,457
