EventType,StartFrame,EndFrame
GazeShift,95,147
GazeShift,168,202
GazeShift,219,251
GazeShift,292,315
GazeShift,330,363
GazeShift,364,390
GazeShift,423,451
GazeShift,468,492
GazeShift,493,527
GazeShift,563,599
GazeShift,628,645
GazeShift,646,669
GazeShift,722,750
GazeShift,787,850
GazeShift,866,889
GazeShift,890,921
GazeShift,943,967
GazeShift,1014,1052
