EventType,StartFrame,EndFrame
GazeShift,297,319
GazeShift,443,479
GazeShift,511,522
GazeShift,574,598
GazeShift,626,646
GazeShift,652,677
GazeShift,723,755
GazeShift,773,794
GazeShift,897,915
GazeShift,932,950
GazeShift,963,980
GazeShift,979,988
GazeShift,1003,1017
GazeShift,1076,1096
GazeShift,1116,1147
GazeShift,1238,1253
GazeShift,1285,1307
GazeShift,1314,1332
GazeShift,1367,1388
GazeShift,1414,1448
GazeShift,1491,1500
GazeShift,1682,1695
GazeShift,1714,1731
GazeShift,1747,1765
GazeShift,1776,1791
GazeShift,1859,1866
GazeShift,1869,1882
GazeShift,1942,1985
