EventType,StartFrame,EndFrame
GazeShift,216,227
GazeShift,236,243
GazeShift,253,265
GazeShift,354,364
GazeShift,388,399
GazeShift,410,423
GazeShift,433,441
GazeShift,444,450
GazeShift,458,463
GazeShift,465,476
GazeShift,479,485
GazeShift,465,473
GazeShift,597,606
GazeShift,650,654
GazeShift,656,662
GazeShift,700,710
GazeShift,721,727
GazeShift,728,735
GazeShift,814,822
GazeShift,825,834
GazeShift,984,991
GazeShift,1000,1007
GazeShift,1111,1122
GazeShift,1161,1171
GazeShift,1172,1183
GazeShift,1201,1207
GazeShift,1209,1219
GazeShift,1223,1237
GazeShift,1255,1264
GazeShift,1267,1276
GazeShift,1383,1389
GazeShift,1393,1401
GazeShift,1405,1412
GazeShift,1468,1475
GazeShift,1545,1553
GazeShift,1556,1563
GazeShift,1572,1578
GazeShift,1584,1595
GazeShift,1610,1626
GazeShift,1628,1642
GazeShift,1685,1690
GazeShift,1710,1720
GazeShift,1722,1730
GazeShift,1753,1764
GazeShift,1767,1776
GazeShift,1786,1793
GazeShift,1794,1801
GazeShift,1827,1833
GazeShift,1837,1844
GazeShift,1850,1855
GazeShift,1874,1877
GazeShift,1879,1886
