EventType,StartFrame,EndFrame
GazeShift,170,214
GazeShift,215,248
GazeShift,266,302
GazeShift,324,369
GazeShift,398,418
GazeShift,466,500
GazeShift,501,560
GazeShift,604,663
GazeShift,671,762
