EventType,StartFrame,EndFrame
GazeShift,281,332
GazeShift,349,417
GazeShift,426,463
GazeShift,514,532
GazeShift,533,558
GazeShift,632,649
GazeShift,649,724
GazeShift,725,739
GazeShift,760,792
GazeShift,810,840
GazeShift,883,900
GazeShift,901,919
GazeShift,920,938
GazeShift,964,980
GazeShift,1032,1052
GazeShift,1111,1193
GazeShift,1194,1215
GazeShift,1216,1263
GazeShift,1291,1318
GazeShift,1352,1374
GazeShift,1420,1444
GazeShift,1445,1459
GazeShift,1460,1478
GazeShift,1489,1503
GazeShift,1610,1649
GazeShift,1684,1723
GazeShift,1724,1741
GazeShift,1742,1771
GazeShift,1799,1816
GazeShift,1840,1854
GazeShift,1855,1869
GazeShift,1899,1915
GazeShift,1946,1964
GazeShift,1965,1976
GazeShift,1984,1996
GazeShift,1997,2020
GazeShift,2021,2067
