## [BeGaze]
## Converted from:	E:\SMI-A\Quick Run\tom5-[e69d8e79-13be-49eb-9d9b-087e133191b0]\tom5-3-unified.smi
## Date:	01.01.0001 00:00:00
## Version:	BeGaze 3.5.101
## IDF Version:	10
## Sample Rate:	30
## Separator Type:	Trial
## Trial Count:	1
## Uses Plane File:	False
## Stimulus:	tom5-3-recording.avi
## Number of Samples:	2504
## Reversed:	none
## [Run]
## Subject:	tom5 (1)
## Description:	Run6
## [Calibration]
## Calibration Area:	1280	960
## [Geometry]
## Stimulus Dimension [mm]:	1280	960
## Head Distance [mm]:	1450
## [Hardware Setup]
## System ID:	
## Operating System :	
## IView X Version:	
## [Filter Settings]
## Heuristics:	False
## Heuristics Stage:	0
## Bilateral:	False
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, DIAMETER, POR, AOI, EYEPOSITION, GAZEVECTOR, TRIGGER, FRAMECOUNTER
##
Time,Type,Trial,L Dia X [px],L Dia Y [px],L Pupil Diameter [mm],R Dia X [px],R Dia Y [px],R Pupil Diameter [mm],B POR X [px],B POR Y [px],L POR X [px],L POR Y [px],R POR X [px],R POR Y [px],B AOI Hit,L EPOS X,L EPOS Y,L EPOS Z,R EPOS X,R EPOS Y,R EPOS Z,L GVEC X,L GVEC Y,L GVEC Z,R GVEC X,R GVEC Y,R GVEC Z,Trigger,Frame,Aux1,B Event Info,Stimulus
933809631,SMP,1,129.00,112.00,4.00,128.00,106.00,4.00,509.80,901.44,704.10,842.86,410.75,802.31,-,31.60,2.70,-24.30,-30.28,1.39,-22.49,-0.07,-0.45,0.89,0.20,-0.41,0.89,0,00:00:00:00,,Blink,tom5-3-recording.avi
933842926,SMP,1,122.00,112.00,5.72,114.00,106.00,5.48,503.25,711.32,652.23,538.10,456.59,769.21,-,31.60,2.70,-24.30,-29.95,1.18,-22.20,-0.03,-0.21,0.98,0.17,-0.39,0.90,0,00:00:00:00,,Blink,tom5-3-recording.avi
933876159,SMP,1,129.00,113.00,5.76,128.00,108.00,4.88,551.95,591.16,652.90,535.67,515.62,669.21,-,31.60,2.70,-24.30,-29.79,1.05,-22.07,-0.03,-0.21,0.98,0.12,-0.32,0.94,0,00:00:00:00,,Blink,tom5-3-recording.avi
933909423,SMP,1,122.00,110.00,5.74,114.00,102.00,4.76,554.10,595.28,646.58,529.18,525.85,680.30,-,31.60,2.70,-24.30,-29.73,0.93,-21.95,-0.03,-0.20,0.98,0.11,-0.33,0.94,0,00:00:00:02,,Blink,tom5-3-recording.avi
933942657,SMP,1,123.00,110.00,5.82,114.00,102.00,4.70,557.98,599.94,645.76,526.58,533.44,687.72,-,31.60,2.70,-24.30,-29.69,0.86,-21.88,-0.03,-0.20,0.98,0.11,-0.33,0.94,0,00:00:00:03,,Blink,tom5-3-recording.avi
933975891,SMP,1,67.00,58.00,5.70,0.00,0.00,0.00,628.63,833.59,770.73,849.43,532.80,679.55,-,31.60,2.70,-24.30,-29.70,0.81,-21.95,-0.13,-0.45,0.88,0.11,-0.33,0.94,0,00:00:00:04,,Blink,tom5-3-recording.avi
934009277,SMP,1,66.00,57.00,5.64,0.00,0.00,0.00,599.52,634.52,715.87,597.65,530.54,673.80,-,31.60,2.70,-24.30,-29.72,0.76,-21.97,-0.09,-0.26,0.96,0.11,-0.32,0.94,0,00:00:00:04,,Blink,tom5-3-recording.avi
934042541,SMP,1,84.00,85.00,5.86,34.00,48.00,4.42,555.29,700.39,701.86,577.69,478.73,742.11,-,31.60,2.70,-24.30,-29.93,0.70,-21.94,-0.07,-0.24,0.97,0.15,-0.37,0.92,0,00:00:00:05,,Blink,tom5-3-recording.avi
934075775,SMP,1,131.00,108.00,5.86,130.00,96.00,4.70,573.97,629.41,668.46,558.45,535.10,704.63,-,31.60,2.70,-24.30,-29.84,0.66,-21.93,-0.05,-0.23,0.97,0.11,-0.35,0.93,0,00:00:00:06,,Blink,tom5-3-recording.avi
934109039,SMP,1,130.00,114.00,5.74,128.00,108.00,4.66,520.38,607.74,615.89,537.82,501.20,691.60,-,31.60,2.70,-24.30,-29.78,0.61,-21.90,0.00,-0.21,0.98,0.13,-0.33,0.93,0,00:00:00:07,,Blink,tom5-3-recording.avi
934142395,SMP,1,121.00,111.00,5.66,112.00,102.00,4.40,441.13,608.20,558.34,539.17,432.07,687.38,-,31.60,2.70,-24.30,-29.75,0.53,-21.87,0.05,-0.21,0.98,0.19,-0.33,0.92,0,00:00:00:08,,Blink,tom5-3-recording.avi
934175720,SMP,1,110.00,107.00,5.48,94.00,96.00,3.14,201.50,670.80,365.10,457.98,351.25,725.36,-,30.95,1.69,-22.39,-29.71,0.52,-21.83,0.21,-0.14,0.97,0.25,-0.35,0.90,0,00:00:00:09,,Blink,tom5-3-recording.avi
934208923,SMP,1,62.00,59.00,5.54,0.00,0.00,0.00,-24.96,607.20,211.05,398.02,262.50,650.61,-,30.57,1.28,-21.74,-29.66,0.54,-21.82,0.33,-0.09,0.94,0.32,-0.29,0.90,0,00:00:00:09,,Blink,tom5-3-recording.avi
