EventType,StartFrame,EndFrame
GazeShift,106,127
GazeShift,160,173
GazeShift,197,218
GazeShift,273,289
GazeShift,326,341
GazeShift,346,361
GazeShift,389,411
GazeShift,480,499
GazeShift,568,590
GazeShift,610,632
GazeShift,657,671
GazeShift,680,703
GazeShift,721,747
GazeShift,751,769
GazeShift,830,850
GazeShift,892,912
GazeShift,924,950
GazeShift,961,972
GazeShift,1011,1029
GazeShift,1044,1076
GazeShift,1138,1154
