Character,AnimationClip,StartFrame,EndFrame,Target,HeadAlign,TorsoAlign
#Norman,InitialPoseGaze1,1,29,UpperRight,1,-1
#Norman,InitialPoseGaze2,36,78,LowerRight,1,-1
