Character,AnimationClip,StartFrame,EndFrame,Target,HeadAlign,TorsoAlign,TurnBody
Roman,PassSodaBGaze3,87,172,NormanetteBack,1,0,true
Roman,PassSodaBGaze7,204,212,NormanetteBack,1,0,true
