ExpressiveGazeClip,GazeInstance,GazeShiftRotation
WindowWashingAGaze1-Expressive0,WindowWashingAGaze1,"-0.09251646 -0.06341968 -0.02686655"
WindowWashingAGaze1-Expressive1,WindowWashingAGaze1,"0 0 0"
WindowWashingAGaze1-Expressive2,WindowWashingAGaze1,"-0.001107397 -0.0003785137 -0.0006469249"
WindowWashingAGaze1-Expressive3,WindowWashingAGaze1,"-0.009486853 -0.004660666 -0.004829106"
WindowWashingAGaze1-Expressive4,WindowWashingAGaze1,"-0.008460395 -0.004193982 -0.004149169"
WindowWashingAGaze2-Expressive0,WindowWashingAGaze2,"-0.01027424 0.03931179 -0.009935039"
WindowWashingAGaze2-Expressive1,WindowWashingAGaze2,"0 0 0"
WindowWashingAGaze2-Expressive2,WindowWashingAGaze2,"-0.01328072 0.0212086 -0.00113365"
WindowWashingAGaze2-Expressive3,WindowWashingAGaze2,"-0.01358379 0.02064105 -0.001516487"
WindowWashingAGaze2-Expressive4,WindowWashingAGaze2,"-0.007243873 0.008379724 -0.0007863399"
WindowWashingAGaze3-Expressive0,WindowWashingAGaze3,"0.03469612 -0.006946612 -0.01561937"
WindowWashingAGaze3-Expressive1,WindowWashingAGaze3,"0 0 0"
WindowWashingAGaze3-Expressive2,WindowWashingAGaze3,"-0.0008656826 0.0006626982 -6.591877E-05"
WindowWashingAGaze3-Expressive3,WindowWashingAGaze3,"-0.001046394 0.0007833401 -0.0001007941"
WindowWashingAGaze3-Expressive4,WindowWashingAGaze3,"0.002159344 -0.001289038 0.0002413132"
WindowWashingAGaze4-Expressive0,WindowWashingAGaze4,"0.1217354 0.03396128 0.03786174"
WindowWashingAGaze4-Expressive1,WindowWashingAGaze4,"0 0 0"
WindowWashingAGaze4-Expressive2,WindowWashingAGaze4,"0.02077394 -0.01319713 0.0114556"
WindowWashingAGaze4-Expressive3,WindowWashingAGaze4,"0.01352268 -0.004333952 0.007061853"
WindowWashingAGaze4-Expressive4,WindowWashingAGaze4,"0.002797334 -0.0003725353 0.001408047"
WindowWashingAGaze5-Expressive0,WindowWashingAGaze5,"0.05719553 0.03682651 0.0282"
WindowWashingAGaze5-Expressive1,WindowWashingAGaze5,"0 0 0"
