Character,AnimationClip,StartFrame,EndFrame,Target,HeadAlign,TorsoAlign,TurnBody,EditType
Norman,WindowWashingAGaze100,155,194,NormanetteFace,1,0.4,true,Add
Norman,WindowWashingAGaze101,195,230,NormanetteBack,1,0,true,Add
