Character,AnimationClip,StartFrame,EndFrame,Target,HeadAlign,TorsoAlign
Norman,WindowWashingAGaze100,155,230,NormanetteFace,1,0.4
Norman,WindowWashingAGaze101,195,230,NormanetteBack,1,-1
