EndEffector,StartFrame,EndFrame,PreserveAbsoluteRotation,Target,ActivationFrameLength,DeactivationFrameLength,ManipulatedObjectHandle,ManipulationEndFrame
LWristBone,0,0,true,SodaBottleAHandle,20,20,SodaBottleAHandle,67
LWristBone,67,68,true,SodaBottleAHandoff,20,20,null,-1
