EndEffector,StartFrame,EndFrame,PreserveAbsoluteRotation,Target,ManipulatedObjectHandle,ManipulationEndFrame
LWristBone,0,0,true,null,WatchHandle,1323
LWristBone,672,720,true,LHandHold,null,-1
