EndEffector,StartFrame,EndFrame,PreserveAbsoluteRotation,Target,ManipulatedObjectHandle,ManipulationEndFrame
LWristBone,197,286,true,DiamondLWrist,null,-1
RWristBone,197,286,true,DiamondRWrist,null,-1
