EndEffector,StartFrame,EndFrame,PreserveAbsoluteRotation,Target,ManipulatedObjectHandle,ManipulationEndFrame
#LWrist,198,200,true,DiamondLWrist,null,-1
#RWrist,198,200,true,DiamondRWrist,DiamondRWristHandle,288
