0,0
0.1,3
0.19,14
0.245,13
0.31,2
0.415,19
0.475,17
0.525,4
0.685,19
0.82,0
1.57,0
1.67,12
1.745,6
1.82,13
1.89,6
1.955,15
2.02,1
2.075,20
2.18,7
2.25,4
2.335,15
2.415,19
2.495,1
2.54,19
2.61,18
2.68,1
2.71,13
2.76,6
2.85,7
2.915,20
2.99,2
3.17,15
3.255,17
3.305,1
3.405,19
3.46,7
3.515,6
3.555,14
3.645,13
3.72,6
3.785,14
3.86,6
3.925,19
4.05,13
4.1,2
4.215,6
4.325,3
4.42,13
4.5,6
4.55,21
4.61,1
4.72,19
4.79,1
4.83,19
4.88,4
4.995,16
5.1,1
5.16,19
5.285,0
6.035,0
6.135,19
6.19,6
6.23,15
6.32,20
6.4,13
6.445,2
6.565,21
6.63,6
6.705,3
6.8,13
6.88,2
7.005,19
7.075,6
7.16,1
7.21,14
7.26,18
7.33,4
7.425,20
7.525,4
7.635,16
7.745,1
7.805,19
7.93,0
8.68,0
8.78,7
8.845,4
8.885,13
8.95,7
9.035,4
9.09,19
9.14,6
9.205,7
9.265,20
9.34,8
9.54,0
10.29,0
10.39,7
10.455,2
10.51,19
10.565,7
10.625,4
10.68,19
10.73,6
10.79,7
10.855,19
10.93,7
11.13,0
