0,0
0.1,8
0.24,20
0.345,4
0.545,0
0.795,19
0.865,2
1.035,2
1.13,21
1.22,20
1.285,8
1.385,6
1.45,20
1.52,19
1.59,4
1.65,1
1.805,15
1.885,20
1.955,6
2.015,7
2.08,15
2.2,1
2.26,21
2.345,20
2.43,7
2.495,4
2.58,15
2.665,19
2.74,1
2.78,19
2.845,15
2.905,1
2.96,21
3.01,2
3.13,19
3.2,6
3.275,3
3.37,13
3.45,6
3.515,19
3.555,19
3.61,1
3.66,13
3.725,6
3.775,15
3.865,19
3.92,15
3.995,1
4.055,19
4.11,6
4.175,20
4.22,15
4.295,21
4.365,6
4.45,13
4.525,6
4.59,1
4.64,19
4.7,15
4.775,6
4.875,15
5.05,0
5.8,0
5.9,17
5.945,1
6.045,19
6.105,7
6.18,4
6.38,0
6.63,7
6.73,6
6.93,0
6.955,20
7.025,1
7.06,19
7.155,20
7.215,4
7.29,19
7.345,19
7.41,4
7.45,19
7.525,8
7.68,6
7.825,19
7.915,1
8.02,17
8.06,1
8.1,13
8.145,21
8.22,4
8.3,19
8.335,1
8.395,13
8.525,0
