0,0
0.1,2
0.205,21
0.285,2
0.4,15
0.505,4
0.57,14
0.635,18
0.695,12
0.765,1
0.85,18
0.91,19
0.98,4
1.055,18
1.095,1
1.135,13
1.18,21
1.235,6
1.3,19
1.37,2
1.465,19
1.51,1
1.565,18
1.64,4
1.735,20
1.835,4
1.945,16
2.05,1
2.11,19
2.24,0
2.99,0
3.09,6
3.155,19
3.23,18
3.335,1
3.525,20
3.6,19
3.68,0
3.93,2
4.03,12
4.115,1
4.2,18
4.32,0
4.345,19
4.42,4
4.495,18
4.545,1
4.595,13
4.685,6
4.815,18
4.865,1
4.915,19
5.005,14
5.07,4
5.145,18
5.2,19
5.25,17
5.295,6
5.355,15
5.49,13
5.56,7
5.665,21
5.8,0
6.55,0
6.65,6
6.715,15
6.78,1
6.825,19
6.87,19
6.91,17
6.955,1
7.02,19
7.075,15
7.175,1
7.375,19
7.45,0
