imagePositionX,imagePositionY,eventType
779.97,551.63,0
745.58,540.37,0
722.1,540.6,0
708.04,541.4,0
695.21,540.63,0
688.58,543.62,0
681.94,538.44,0
679.92,542.26,0
683.18,542.1,0
683.58,543.99,0
684.36,543.29,0
686.06,545.13,0
687.65,544.41,0
687.09,541.49,0
688.18,541.59,0
692.96,533.15,0
691.9,538.58,0
698.95,539.12,0
697.41,535.8,0
690.16,536.33,0
683.78,529.52,1
670.17,529.17,1
668.73,534.89,2
973.83,585.66,2
1106.51,613.93,2
1048.62,603.37,2
1106.83,646.74,2
1822.48,851.1,2
1796.04,836.25,2
1401.72,718.59,2
1369.59,710.13,2
1378.8,742.76,2
1168.6,693.23,2
1255.96,682.07,2
1297.32,678.33,2
1246.73,641.57,2
1104.55,613.35,2
1003.04,562.72,2
914.92,520.07,2
852.04,520.08,2
799.6,465.67,1
735.94,405.44,1
693.62,416.33,1
661.52,439.8,0
683.02,434.93,0
677.41,457.74,0
662.66,485.81,0
672.27,461.2,0
661.28,472.43,1
506.66,501.78,1
463.15,520,1
478.99,513.13,0
481.64,513.71,0
492.57,508.67,0
506.85,506.4,0
513.9,506.64,0
522.42,504.77,0
533.24,500.38,0
539.55,505.2,1
553.01,507.69,1
566.3,507.81,0
574.58,513.95,0
585.95,523.67,0
591.95,531.78,0
604.01,536.46,0
612.42,543.27,0
626.32,544.46,0
639.91,540.91,0
653.72,558.91,1
677.41,551.58,1
664.85,563.76,1
429.28,595.53,1
378.17,611.78,0
443.05,601.06,0
526.14,599.73,0
420.4,546.01,1
226.44,489.41,1
107.65,463.21,1
77.62,456.75,1
255.91,458.7,1
166.8,441.81,1
196.32,438.8,1
354.53,462.22,1
463.57,492.33,1
405.24,478.29,0
470.82,506.66,0
528.16,541.18,0
571.12,553.2,0
603.85,558.55,0
623.75,558.57,0
639.31,549.13,0
651.65,533.29,0
660.27,516.13,0
664.82,503.69,0
654.09,511.5,0
656.51,495.57,0
658.98,482.36,0
664.31,462.78,1
671.16,441.49,1
679.3,437.73,1
724.55,617.95,1
726.42,660.57,0
730.75,656.77,0
726.43,672.32,0
715.21,652.79,1
686.33,530.57,1
690.18,477.45,0
698.16,478.95,0
702.64,483.83,0
703.76,488.78,0
704.02,487.51,0
707.68,486.51,0
706.39,474.83,0
711.82,462.32,0
707.59,446.91,0
698.35,430.95,0
684.97,409.71,0
662.29,384.9,1
635.71,361.64,1
604.46,340.72,1
572.36,331.34,1
753.32,403.11,1
768.46,427.27,0
746,407.07,0
716.24,383.42,0
690.97,363.04,0
665.78,348.4,0
704.5,391.55,1
864.41,550.71,1
847.8,547.29,1
829.5,541.75,2
807.56,540.69,2
796.19,544.43,2
1097.92,623.23,2
1142.96,575.22,2
1258.82,622.96,2
1114.95,586.25,2
1072.9,572.32,2
1154.97,550.14,2
1197.04,564.2,2
1407.5,661.42,2
1296.68,643.19,2
1293.45,553.8,2
1466.66,665.82,2
1336.19,647.55,2
1234.78,629.08,2
1115.46,615.12,2
1036.34,608.14,2
1048.64,555.56,1
975.72,515.53,1
899.5,515.1,1
843.19,517.42,0
806.52,522.56,0
767.99,526.14,0
740.11,530.96,0
717.3,535.94,0
697.84,541.27,0
680.35,553.97,0
675.45,561.18,0
667.51,564.12,0
660.18,572.15,0
652.75,570.59,0
646.31,570.81,0
639.47,572.33,0
631.39,569.94,1
625.21,562.8,1
619,564.9,0
613.13,563.02,0
605.35,565.38,0
599.55,565.12,0
599.3,556.96,1
649.24,607.9,1
646.07,607.97,0
636.71,608.09,0
627.28,601.31,0
621.32,593,0
618.66,591.02,0
617.18,583.86,0
618.06,580.82,1
618.34,573.06,1
622.56,572.08,0
626.38,567.42,0
632.01,557.1,0
633.87,555.9,0
633.56,547.2,1
528.1,503.39,1
522.65,483.93,1
532.26,464.96,0
536.26,451.56,0
546.3,434.34,0
553.89,416.7,0
557.54,404.83,0
560.2,394.32,0
562.74,389.22,0
566.04,387.63,0
572.12,385.58,0
573.88,388.92,0
582.94,394.53,0
595.63,397.31,0
596.71,411.5,1
609.94,440.49,1
617.43,461.03,1
624.85,474.14,0
629.57,484.11,0
640.04,486.23,0
646.79,494.24,0
645.59,507.76,0
650.43,510.3,0
655,503.72,0
664.04,502.98,0
666.14,487.87,1
674.51,465.63,1
684.4,455.6,0
691.75,455.06,0
711.13,462.41,1
633,445.26,1
629.91,456.29,1
662.11,465.76,0
685.93,474.5,0
709.82,484.42,0
731.57,496.3,0
756.59,510.22,0
779.27,527.26,0
803.55,544.86,0
645.76,552.14,1
478.43,583.19,1
342.01,642.7,0
339.65,661.28,0
407.03,657.1,0
479.7,659.09,1
320.37,712.31,1
339.95,711.38,0
413.48,698.76,0
250.62,729.91,2
316.93,717.06,2
417.54,711.97,2
525.7,693.83,2
409.54,689.96,2
210.18,730.07,2
302.21,692.54,2
403.35,663.06,2
457.75,645.78,2
223.22,737.41,2
243.01,744.41,2
337.5,724.52,2
440.74,699.09,2
354.09,749.39,2
233.85,1063.66,2
199.3,834.65,2
281.98,777.61,2
404.27,789.56,2
491.5,789.79,2
582.87,795.62,2
405.75,811.69,2
207.82,837.02,2
257.84,830.22,1
333.09,820.66,1
406.19,803.89,0
446.29,803.72,0
472.38,788.08,1
314.08,746.2,1
357.28,742.46,1
397.47,739.58,0
426.99,739.32,0
460.99,723.05,0
480.14,717.12,0
499.42,713.1,0
515.06,710.11,0
525.92,707.03,0
529.97,705.64,0
540.08,692.58,0
552.1,679.93,0
560.9,672.38,1
552.69,838.63,1
592.7,909.9,0
603.17,894.95,0
613.82,852.25,0
617.48,828.75,1
649.23,898.03,1
653.26,892.26,1
659.98,986.59,3
644.97,835.28,3
658.03,998.03,1
653.49,790.65,1
657.91,774.07,1
654.25,849.09,1
653.08,744.66,1
655.8,783.01,1
650.11,849.12,0
654.68,858.54,0
662.97,844.56,0
663.08,850.23,0
668.93,832.37,0
672.48,822,1
674.76,778.4,1
678.89,799.33,0
680.96,798.33,0
683.76,770.24,0
682.56,747.58,0
678.38,730.82,0
666.15,702.2,0
664.53,681.61,0
685.49,703.43,0
683.22,671.76,0
680.23,636.17,0
677.33,631.34,0
678.42,600.04,0
679.75,576.43,0
681.3,549.53,0
640.48,514.09,1
629.05,440.94,1
631.14,410.88,0
627.44,386.43,0
615.47,363.83,0
623.68,331.13,0
616.83,310.94,0
620.47,286.19,0
630.03,262.57,0
616.43,244.9,0
610.36,228.1,0
611.6,215.56,0
606.02,210.13,0
621.13,168.51,1
656.62,268.43,1
656.43,278.55,1
613.62,120.78,1
652.15,264.89,1
630.42,87.37,1
632.3,85.61,0
635.06,77.55,0
645.84,65.98,0
665.65,52.69,1
617.15,83.2,1
604.52,87.6,0
605.1,68.67,0
624.48,21.86,0
627.24,-2.290001,0
612.24,7.67,0
618.8,3.23,0
620,7.67,1
690.01,-24.24,1
704.11,-20.9,1
689.23,8.08,1
724.14,255.71,1
657.93,134.21,0
690.63,206.7,0
863.34,253.2,2
835.16,310.83,2
795.32,357.32,2
755.1,419.51,2
3184.47,2794.71,2
1125.79,540,2
1069.39,587.83,2
1008.23,587.8,2
956.68,599.34,2
1272.95,654.37,0
1218.26,645.93,0
1093.72,634.29,2
1015.04,630,2
934.99,634.2,2
1110.56,749.11,2
1131.04,668.55,2
1110.65,676.27,2
1391.36,969.98,2
1278.2,786.19,2
1366.91,840.16,2
1359.42,837.8,2
1310.04,812.94,2
1566.72,1172.08,2
1656.48,1209.87,2
1658.37,1236.38,2
1442.19,1100.26,2
1381.94,1178.98,0
1174.74,952.51,0
1075.05,897.55,0
991.47,840.49,0
1001.02,821.18,1
1262.42,888.31,1
1219.23,896.05,2
1151.65,849.34,2
1056.5,857.4,2
1060.27,863.31,2
1122.71,777.13,2
1464.01,919.63,2
1371.58,901.09,2
1252.77,840.83,2
1146.97,798.13,2
1384.16,832.85,2
1319.03,692.57,2
1294.7,683.83,2
1394.18,839.05,2
1284.87,589.57,2
1203.87,823.53,2
1199.64,831.58,2
1236.66,862.48,2
1186.83,847.97,1
1108.15,819.04,1
1038.52,795.16,1
955.57,769.66,1
896.46,748.38,1
846.04,735,2
