vRoot,vBones#srfBind_Cn_Pelvis,vBones#srfBind_Cn_SpineA,vBones#srfBind_Cn_SpineB,vBones#srfBind_Cn_SpineC,vBones#srfBind_Cn_Neck,vBones#srfBind_Cn_Head,aRoot,aBones#srfBind_Cn_Pelvis,aBones#srfBind_Cn_SpineA,aBones#srfBind_Cn_SpineB,aBones#srfBind_Cn_SpineC,aBones#srfBind_Cn_Neck,aBones#srfBind_Cn_Head,p0Root,p0Bones#srfBind_Cn_Pelvis,p0Bones#srfBind_Cn_SpineA,p0Bones#srfBind_Cn_SpineB,p0Bones#srfBind_Cn_SpineC,p0Bones#srfBind_Cn_Neck,p0Bones#srfBind_Cn_Head,pRoot,pBones#srfBind_Cn_Pelvis,pBones#srfBind_Cn_SpineA,pBones#srfBind_Cn_SpineB,pBones#srfBind_Cn_SpineC,pBones#srfBind_Cn_Neck,pBones#srfBind_Cn_Head,wRoot,wBones#srfBind_Cn_Pelvis,wBones#srfBind_Cn_SpineA,wBones#srfBind_Cn_SpineB,wBones#srfBind_Cn_SpineC,wBones#srfBind_Cn_Neck,wBones#srfBind_Cn_Head,pEndEff#Hand_L,pEndEff#Hand_R,pEndEff#srfBind_Lf_FootA,pEndEff#srfBind_Rt_FootA,wEndEff#Hand_L,wEndEff#Hand_R,wEndEff#srfBind_Lf_FootA,wEndEff#srfBind_Rt_FootA,p0,p
0,46.36705,11.07105,14.43976,14.43976,32.91499,69.23145,0,1240.687,35.60821,923.7601,923.7601,2288.412,2636.042,0,0.3383407,0.04761894,0.7159353,0.7156628,0.6024045,0.5270357,0,0.2161833,0.1118175,0.5355066,0.5352687,0.4262416,0.4295038,0.3341562,0.3341562,0.3431843,0.4024597,0.4515602,0.6745546,1,0,0,0,0,0,0,0,0,0.5221882,0.3862259
0,71.01958,12.10447,43.05858,43.05858,70.21153,75.50996,0,678.4288,106.8246,1267.48,1267.48,3798.795,4309.055,0,0.1850105,0.1428568,0.9823264,0.9819526,1,0.8615287,0,0.2166073,0.10793,0.5955935,0.5952299,0.5835138,0.4914605,0.3341562,0.3341562,0.3431843,0.4024597,0.4515602,0.6745546,1,0,0,0,0,0,0,0,0,0.7753448,0.4146027
0,52.42782,9.421051,5.035762,5.035762,72.68632,129.0297,0,1598.028,87.22195,178.0411,178.0411,1670.571,2620.119,0,0.4357891,0.1166421,0.1379859,0.1379334,0.4397634,0.5238522,0,0.2326167,0.09878391,0.2428091,0.2427706,0.3403572,0.3990268,0.3341562,0.3341562,0.3431843,0.4024597,0.4515602,0.6745546,1,0,0,0,0,0,0,0,0,0.3505916,0.3119706
0,13.05635,7.600129,8.882252,8.882252,23.79813,49.4547,0,904.3393,61.67524,366.6092,366.6092,540.0259,960.1055,0,0.2466173,0.08247843,0.2841305,0.2840224,0.1421572,0.1919582,0,0.2079403,0.08631817,0.2191714,0.2191211,0.2439751,0.3014435,0.3341562,0.3341562,0.3431843,0.4024597,0.4515602,0.6745546,1,0,0,0,0,0,0,0,0,0.1999957,0.2500923
0,37.60954,6.501142,11.44645,11.44645,11.98752,20.3864,0,371.7608,50.35762,50.35762,50.35762,522.1194,728.0132,0,0.1013808,0.06734336,0.03902831,0.03901346,0.1374434,0.1455549,0,0.193188,0.07291375,0.1237533,0.1237414,0.226516,0.2628753,0.3341562,0.3341562,0.3431843,0.4024597,0.4515602,0.6745546,1,0,0,0,0,0,0,0,0,0.102492,0.2054805
0,49.85194,6.052233,13.00229,13.00229,26.32768,18.03995,0,261.6659,35.60821,0,0,264.0777,1038.153,0,0.07135744,0.04761894,0,0,0.06951616,0.2075627,0,0.1902267,0.07072762,0.102048,0.1020268,0.1826371,0.2245654,0.3341562,0.3341562,0.3431843,0.4024597,0.4515602,0.6745546,1,0,0,0,0,0,0,0,0,0.09190565,0.1728257
0,46.12333,5.692367,13.27041,13.27041,31.82694,27.32549,0,668.0704,35.60821,35.60821,35.60821,1072.397,1348.428,0,0.1821857,0.04761894,0.02759718,0.02758668,0.2822993,0.2695974,0,0.2002599,0.06735034,0.1045834,0.1045485,0.1782398,0.1907623,0.3341562,0.3341562,0.3431843,0.4024597,0.4515602,0.6745546,1,0,0,0,0,0,0,0,0,0.1749292,0.155174
0,26.98829,5.173754,12.27781,12.27781,24.41181,22.48935,0,268.8362,35.60821,79.62239,79.62239,282.6315,401.2844,0,0.0733128,0.04761894,0.06170918,0.0616857,0.07440031,0.0802306,0,0.1920848,0.06643944,0.1172741,0.1172336,0.1499576,0.1577435,0.3341562,0.3341562,0.3431843,0.4024597,0.4515602,0.6745546,1,0,0,0,0,0,0,0,0,0.06985461,0.143224
0,33.52989,4.279575,10.00134,10.00134,23.97507,33.08576,0,1051.503,35.60821,112.6031,112.6031,1015.931,975.8246,0,0.2867493,0.04761894,0.08726996,0.08723675,0.267435,0.195101,0,0.2198178,0.0646046,0.1358823,0.1358338,0.1627269,0.1600408,0.3341562,0.3341562,0.3431843,0.4024597,0.4515602,0.6745546,1,0,0,0,0,0,0,0,0,0.1753562,0.1513556
0,68.33015,3.140349,6.608606,6.608606,27.27389,49.01114,0,2155.145,79.62239,424.3211,424.3211,347.0661,431.727,0,0.5877175,0.1064792,0.3288586,0.3287335,0.09136216,0.08631711,0,0.2602511,0.06701953,0.175162,0.1750897,0.1737766,0.1735334,0.3341562,0.3341562,0.3431843,0.4024597,0.4515602,0.6745546,1,0,0,0,0,0,0,0,0,0.2063912,0.1719659
