keyFrameIndex,keyFrameIndexRoot,keyFrameIndexBone#srfBind_Cn_Pelvis,keyFrameIndexBone#srfBind_Cn_SpineA,keyFrameIndexBone#srfBind_Cn_SpineB,keyFrameIndexBone#srfBind_Cn_SpineC,keyFrameIndexBone#srfBind_Cn_Neck,keyFrameIndexBone#srfBind_Cn_Head
4,4,3,3,8,8,8,4
13,13,14,12,13,13,13,13
25,25,21,25,23,23,27,27
40,40,40,40,40,40,44,40
48,48,51,49,48,48,44,44
69,69,67,69,67,67,69,71
