keyFrameIndex,keyFrameIndexRoot,keyFrameIndexBone#Bone_Hips,keyFrameIndexBone#Bone_SpineA,keyFrameIndexBone#Bone_SpineB,keyFrameIndexBone#Bone_SpineC,keyFrameIndexBone#Bone_Neck,keyFrameIndexBone#Bone_Head
10,10,8,11,13,13,10,10
17,17,21,19,17,17,17,17
54,54,54,51,54,54,54,54
61,61,60,61,60,60,62,62
72,72,72,72,72,71,72,72
82,82,82,80,80,80,82,82
92,92,91,90,91,91,93,93
101,101,101,101,101,101,99,101
107,107,105,108,106,106,111,111
117,117,114,117,117,117,117,117
130,130,130,130,133,133,129,129
144,144,144,144,144,144,144,144
150,150,151,150,152,152,150,150
168,168,168,166,167,167,168,168
179,179,175,179,180,180,179,178
192,192,189,188,195,195,192,192
202,202,202,201,202,202,201,201
218,218,218,221,218,218,217,217
227,227,227,227,226,226,227,227
234,234,235,235,235,234,233,234
246,246,244,244,247,247,246,246
267,267,268,264,266,263,268,268
296,296,292,296,296,296,293,293
306,306,305,308,310,310,306,306
319,319,319,320,319,319,319,320
335,335,334,334,332,332,339,338
355,355,355,352,359,359,353,354
377,377,379,377,378,378,374,374
388,388,388,392,389,391,388,387
407,407,407,406,403,403,405,407
424,424,424,424,424,424,422,422
430,430,431,430,430,430,430,430
441,441,439,441,438,438,441,441
458,458,458,457,458,458,458,458
474,474,477,472,474,474,473,473
483,483,487,483,483,487,483,483
510,510,510,510,507,507,510,510
519,519,519,523,520,520,519,519
533,533,535,533,531,533,533,533
545,545,548,546,545,545,545,545
557,557,557,557,556,556,557,557
566,566,566,564,565,564,566,566
578,578,578,579,579,579,578,578
587,587,591,588,587,587,586,586
603,603,606,602,605,605,603,603
615,615,615,615,615,615,615,615
629,629,629,632,629,629,628,627
639,639,639,643,642,642,636,637
648,648,646,648,648,648,649,649
657,657,657,657,657,657,656,656
683,683,683,683,683,683,684,684
693,693,691,693,690,693,694,694
717,717,721,718,717,717,716,716
733,733,733,729,733,733,733,733
741,741,741,741,742,741,741,741
754,754,754,751,758,758,754,754
771,771,771,771,771,771,771,768
777,777,778,777,779,779,776,777
792,792,789,793,792,792,792,792
804,804,804,805,805,805,802,802
820,820,820,822,820,820,820,820
836,836,836,836,836,836,837,837
850,850,850,848,850,849,850,850
873,873,872,873,873,874,873,873
887,887,887,887,884,884,886,886
894,894,891,895,894,894,894,894
904,904,904,907,907,907,904,904
920,920,920,924,922,923,919,920
943,943,941,944,941,941,944,944
959,959,963,956,956,956,959,959
979,979,977,975,978,978,981,981
994,994,990,994,990,990,995,995
1008,1008,1008,1008,1008,1004,1008,1008
1024,1024,1022,1024,1024,1024,1023,1023
1031,1031,1031,1030,1028,1028,1032,1032
1044,1044,1044,1044,1045,1045,1043,1043
1061,1061,1062,1061,1061,1061,1061,1061
1073,1073,1073,1074,1071,1070,1074,1074
1086,1086,1086,1083,1086,1086,1086,1086
1096,1096,1092,1092,1096,1096,1094,1093
