intervalType,startFrame,endFrame,amplitude,pGS,pGF
GazeFixation,0,34,13.12977,0.4700674,0.504294
GazeShift,34,49,19.74283,0.60532,0.3875943
GazeFixation,49,69,7.099068,0.4378345,0.55103
GazeShift,69,92,12.17487,0.5192057,0.454557
GazeFixation,92,120,18.70525,0.3370452,0.6751347
GazeShift,120,136,13.52522,0.5135685,0.4694693
GazeShift,136,148,11.69047,0.6300938,0.3736287
GazeShift,148,157,9.38475,0.5840966,0.4402424
GazeFixation,157,314,3.511511,0.3682647,0.6366926
GazeShift,314,332,15.71911,0.6164573,0.3539463
GazeFixation,332,451,20.87672,0.3108551,0.6895601
GazeShift,451,464,27.47352,0.6017878,0.3711325
GazeFixation,464,471,16.09993,0.4126085,0.579713
GazeShift,471,482,16.87528,0.5378949,0.462503
GazeFixation,482,561,5.080026,0.2282001,0.7748404
GazeShift,561,571,11.37579,0.6233587,0.3759968
GazeFixation,571,584,1.377146,0.2320898,0.7629024
GazeShift,584,604,9.987374,0.5622911,0.4291849
GazeFixation,604,638,3.510005,0.2937869,0.6870005
GazeShift,638,655,6.120741,0.5055748,0.4891885
GazeFixation,655,699,10.46343,0.4598799,0.5414942
GazeShift,699,708,6.085697,0.5305972,0.4723013
GazeShift,708,728,9.995995,0.5380778,0.4432884
GazeShift,728,748,11.92403,0.6307249,0.3629217
GazeFixation,748,853,4.554964,0.3574229,0.6494456
GazeShift,853,862,14.08681,0.5414969,0.4635911
GazeFixation,862,947,11.76579,0.3340272,0.6623666
GazeShift,947,959,16.82491,0.6529132,0.3294058
GazeFixation,959,1114,15.57675,0.3849261,0.607733
GazeShift,1114,1128,14.83867,0.5746804,0.4124532
GazeFixation,1128,1159,2.235634,0.374875,0.6285722
GazeShift,1159,1171,23.67686,0.7111634,0.2694654
GazeFixation,1171,1219,15.46278,0.4557862,0.5416667
GazeShift,1219,1262,23.03403,0.795295,0.2182476
GazeShift,1262,1276,21.22921,0.7613995,0.2560257
GazeFixation,1276,1299,0.4996771,0.1511116,0.8715301
GazeShift,1299,1311,2.563612,0.5716993,0.4481989
GazeFixation,1311,1334,1.616647,0.2009494,0.7836648
GazeShift,1334,1350,15.5173,0.7109087,0.3106994
GazeFixation,1350,1450,19.53737,0.3868676,0.6089526
GazeShift,1450,1473,10.36301,0.5035948,0.4706873
GazeFixation,1473,1591,2.88568,0.3648361,0.6269666
GazeShift,1591,1599,13.26086,0.7850237,0.2345223
GazeShift,1599,1627,26.7329,0.5976741,0.3972334
GazeShift,1627,1635,11.52742,0.5614611,0.4589804
GazeFixation,1635,1698,13.26641,0.3823942,0.5941625
GazeShift,1698,1725,16.22952,0.5667185,0.4011334
GazeFixation,1725,1792,8.531129,0.3571241,0.6419802
GazeShift,1792,1815,20.95737,0.6667815,0.3118641
GazeShift,1815,1834,19.63343,0.725822,0.2804289
GazeFixation,1834,1846,9.513246,0.4801096,0.5042794
GazeShift,1846,1877,10.82975,0.5734638,0.431987
GazeShift,1877,1896,17.98156,0.6913402,0.3288893
