intervalType,startFrame,endFrame,amplitude,pGS,pGF
GazeFixation,0,10,13.36991,0.3010072,0.6990528
GazeShift,10,17,24.30627,0.8386595,0.1686873
GazeFixation,17,48,21.61399,0.3874014,0.6128032
GazeShift,48,60,39.1769,0.9412886,0.06899217
GazeFixation,60,96,12.03491,0.3463227,0.6587873
GazeShift,96,110,70.07132,0.9253786,0.08948888
GazeShift,110,123,11.07034,0.6635575,0.3659312
GazeFixation,123,152,14.25288,0.4639958,0.5356604
GazeShift,152,162,23.34335,0.7975662,0.2247468
GazeFixation,162,173,35.92212,0.5243782,0.483939
GazeShift,173,180,14.70912,0.6145486,0.3945322
GazeFixation,180,246,15.39822,0.3427511,0.6579168
GazeShift,246,260,53.15833,0.8333555,0.1642563
GazeFixation,260,265,19.78143,0.4317747,0.5810823
GazeShift,265,279,50.16175,0.6602626,0.355325
GazeShift,279,292,21.34929,0.7633124,0.2615542
GazeFixation,292,366,15.15981,0.2353239,0.7693208
GazeShift,366,380,12.09763,0.6962917,0.3049754
GazeShift,380,394,46.05098,0.7042366,0.2807671
GazeShift,394,415,54.21745,0.6768264,0.2963456
GazeShift,415,441,46.14779,0.8210916,0.1988177
GazeFixation,441,473,13.37193,0.3935657,0.6176944
GazeShift,473,487,7.984066,0.5677295,0.4278541
GazeFixation,487,526,12.42716,0.4130923,0.5866106
GazeShift,526,542,22.62623,0.7216433,0.2861896
GazeShift,542,558,67.51328,0.8803453,0.1216299
GazeShift,558,575,43.52722,0.5547473,0.4456528
GazeFixation,575,585,17.80291,0.3835596,0.6222515
GazeShift,585,600,25.48179,0.7577871,0.242183
GazeFixation,600,619,14.48201,0.4427654,0.5433186
GazeShift,619,631,8.965588,0.5525185,0.4514673
GazeFixation,631,677,13.65027,0.3342865,0.6749429
GazeShift,677,686,13.53139,0.6102624,0.4027484
GazeShift,686,711,39.54398,0.564495,0.4385708
GazeFixation,711,721,27.39686,0.5413426,0.4779432
GazeShift,721,736,63.02455,0.7234719,0.2651615
GazeShift,736,744,12.4265,0.612071,0.3799362
GazeFixation,744,789,19.88275,0.404329,0.5861096
GazeShift,789,799,9.593373,0.6566698,0.3615839
GazeFixation,799,869,17.41513,0.4315406,0.5568467
GazeShift,869,878,17.95022,0.7703069,0.2411685
GazeShift,878,900,86.63253,0.8791479,0.118868
GazeShift,900,927,69.86092,0.770375,0.204735
GazeFixation,927,947,23.53481,0.4151071,0.5867356
GazeShift,947,965,9.167268,0.5977841,0.3941679
GazeFixation,965,990,8.318902,0.3315792,0.6716361
GazeShift,990,999,28.57834,0.7885318,0.2166298
GazeShift,999,1010,36.69467,0.59191,0.406579
GazeShift,1010,1024,31.03053,0.6855326,0.3101087
GazeShift,1024,1040,45.51865,0.6144087,0.3721863
GazeShift,1040,1051,25.49829,0.7289613,0.27489
GazeFixation,1051,1113,7.054772,0.4095058,0.5875737
GazeShift,1113,1128,14.44634,0.6519537,0.3581197
GazeFixation,1128,1141,5.991684,0.308314,0.6806703
GazeShift,1141,1168,44.07507,0.5895566,0.4334249
GazeShift,1168,1179,13.89831,0.6064542,0.4123512
GazeShift,1179,1200,92.43395,0.7498809,0.2715914
GazeFixation,1200,1207,21.64309,0.4727049,0.5378813
GazeShift,1207,1229,50.57127,0.764572,0.248301
GazeShift,1229,1240,18.49854,0.6994311,0.3325189
GazeShift,1240,1270,20.11634,0.8084574,0.2135074
GazeFixation,1270,1280,5.111708,0.267541,0.7225156
GazeShift,1280,1290,12.30375,0.7013481,0.319874
GazeFixation,1290,1303,6.016335,0.328988,0.6742642
GazeShift,1303,1321,26.92142,0.6867392,0.3344209
