keyFrameIndex,keyFrameIndexRoot,keyFrameIndexBone#Bone_Hips,keyFrameIndexBone#Bone_SpineA,keyFrameIndexBone#Bone_SpineB,keyFrameIndexBone#Bone_SpineC,keyFrameIndexBone#Bone_Neck,keyFrameIndexBone#Bone_Head
28,28,28,30,29,29,28,28
40,40,42,37,43,43,41,41
56,56,56,56,56,56,55,56
72,72,68,71,70,70,72,72
83,83,87,84,84,84,83,83
100,100,103,103,97,96,100,100
109,109,110,109,111,111,108,108
140,140,140,139,139,138,142,141
151,151,149,155,151,151,151,151
163,163,163,163,163,163,164,164
182,182,182,181,182,182,182,181
194,194,195,196,196,196,193,193
218,218,217,217,218,218,220,220
229,229,229,225,227,228,229,229
240,240,240,240,242,242,242,242
263,263,263,262,264,264,264,264
286,286,285,286,288,288,286,286
301,301,299,298,298,298,301,301
309,309,311,310,313,313,309,309
318,318,318,319,321,321,318,318
332,332,332,333,333,333,330,330
341,341,339,339,345,345,341,341
357,357,355,355,359,359,357,357
367,367,367,367,367,367,368,368
379,379,379,378,382,382,378,378
402,402,401,400,401,401,402,402
410,410,410,410,410,410,413,413
424,424,423,424,425,425,424,424
448,448,447,446,448,448,448,448
474,474,470,471,473,473,475,475
499,499,498,500,499,499,499,499
509,509,509,509,509,509,509,509
522,522,522,521,524,524,524,524
548,548,547,546,547,547,548,548
559,559,558,559,559,559,559,559
574,574,573,572,574,574,574,574
595,595,595,593,595,595,595,595
619,619,618,616,620,620,618,618
641,641,643,642,642,642,641,641
651,651,654,654,651,651,649,649
665,665,661,666,668,668,666,666
673,673,673,673,673,673,673,673
696,696,696,697,692,692,698,698
711,711,711,713,714,714,708,708
718,718,716,720,721,721,719,718
745,745,741,749,741,741,745,745
764,764,767,768,760,760,762,764
