keyFrameIndex,keyFrameIndexRoot,keyFrameIndexBone#Bone_Hips,keyFrameIndexBone#Bone_SpineA,keyFrameIndexBone#Bone_SpineB,keyFrameIndexBone#Bone_SpineC,keyFrameIndexBone#Bone_Neck,keyFrameIndexBone#Bone_Head,keyFrameIndexBone#Bone_Eye_L,keyFrameIndexBone#Bone_Eye_R,keyFrameIndexBone#Bone_Shoulder_L,keyFrameIndexBone#Bone_UpperArm_L,keyFrameIndexBone#Bone_Forearm_L,keyFrameIndexBone#Bone_Hand_L,keyFrameIndexBone#Bone_Fingers_L,keyFrameIndexBone#Bone_Thumb_L,keyFrameIndexBone#Bone_Shoulder_R,keyFrameIndexBone#Bone_UpperArm_R,keyFrameIndexBone#Bone_Forearm_R,keyFrameIndexBone#Bone_Hand_R,keyFrameIndexBone#Bone_Fingers_R,keyFrameIndexBone#Bone_Thumb_R,keyFrameIndexBone#Bone_UpperLeg_L,keyFrameIndexBone#Bone_LowerLeg_L,keyFrameIndexBone#Bone_Foot_L,keyFrameIndexBone#Bone_Toes_L,keyFrameIndexBone#Bone_UpperLeg_R,keyFrameIndexBone#Bone_LowerLeg_R,keyFrameIndexBone#Bone_Foot_R,keyFrameIndexBone#Bone_Toes_R
12,8,7,11,11,12,12,12,12,12,10,14,16,16,12,12,12,12,14,14,12,12,7,12,8,12,7,18,8,12
28,27,27,29,30,29,27,27,34,34,28,27,26,23,28,28,32,25,28,25,28,28,28,31,29,26,28,28,29,28
41,44,41,39,42,42,41,41,41,41,47,37,41,45,41,41,38,46,40,36,41,41,40,41,43,41,38,41,44,41
57,61,63,61,57,57,55,56,63,59,61,61,60,60,57,57,57,63,63,50,57,57,57,56,57,57,56,56,58,57
69,69,69,73,70,70,74,74,63,64,71,69,69,73,69,69,65,75,69,73,69,69,73,76,68,70,67,70,70,69
85,86,89,84,85,85,83,83,85,85,87,84,84,82,85,85,85,81,79,79,85,85,79,85,78,80,86,85,85,85
100,107,102,104,96,96,100,100,100,100,102,94,96,106,100,100,96,96,106,104,100,100,104,105,104,104,100,93,98,100
128,130,130,127,130,130,128,128,128,128,133,128,126,128,128,128,130,128,129,126,128,128,123,124,122,123,129,128,128,128
138,144,134,140,140,140,142,142,138,138,140,144,136,145,138,138,143,141,140,135,138,138,143,144,142,138,137,135,135,138
152,152,151,155,157,157,151,151,153,152,157,153,152,155,152,152,151,150,147,150,152,152,152,154,148,152,152,153,153,152
164,160,169,160,168,168,164,164,168,160,164,159,160,160,164,164,164,165,161,164,164,164,165,171,160,164,171,162,168,164
181,184,183,179,181,181,181,181,181,179,181,181,176,180,181,181,178,176,185,178,181,181,182,182,182,181,179,186,179,181
193,190,195,195,196,196,193,193,191,194,193,193,197,195,193,193,191,197,199,193,193,193,198,193,197,196,191,193,188,193
206,206,205,207,206,206,201,201,210,207,202,201,206,207,206,206,206,205,205,205,206,206,206,200,209,205,202,208,202,206
217,215,217,217,220,220,219,219,217,217,218,223,222,221,217,217,220,219,217,222,217,217,216,212,216,214,218,223,221,217
244,238,240,239,243,243,237,237,244,238,239,242,237,241,244,244,251,240,241,240,244,244,243,246,244,243,240,247,239,244
264,260,262,262,265,265,263,264,258,264,262,264,266,271,264,264,258,264,264,264,264,264,261,258,260,260,263,267,266,264
286,289,284,284,288,288,286,293,287,287,291,281,281,281,286,286,285,280,281,280,286,286,286,284,290,287,284,279,283,286
300,306,299,300,300,300,303,301,300,300,297,297,302,299,300,300,298,298,296,306,300,300,299,295,300,299,296,295,297,300
313,313,309,309,313,313,310,309,313,313,313,311,313,316,313,313,308,316,310,315,313,313,314,313,309,307,313,315,313,313
330,330,332,333,332,332,330,330,329,329,332,328,328,328,330,330,335,332,335,334,330,330,333,332,332,335,330,327,332,330
340,337,339,341,335,335,341,341,339,339,340,338,341,340,340,340,340,347,347,345,340,340,341,338,337,335,341,339,343,340
357,355,355,355,359,359,357,357,357,357,358,359,361,359,357,357,355,358,359,358,357,357,358,350,354,353,357,360,359,357
367,374,365,365,374,374,368,367,367,367,367,363,368,363,367,367,363,367,365,362,367,367,367,367,366,373,367,372,367,367
381,374,376,377,381,381,381,381,381,381,386,382,381,375,381,381,386,375,380,379,381,381,381,383,381,379,375,377,376,381
402,401,399,399,400,400,402,402,402,402,402,399,399,403,402,402,403,401,404,403,402,402,399,395,398,397,402,405,403,402
