keyFrameIndex,keyFrameIndexRoot,keyFrameIndexBone#srfBind_Cn_Pelvis,keyFrameIndexBone#srfBind_Cn_SpineA,keyFrameIndexBone#srfBind_Cn_SpineB,keyFrameIndexBone#srfBind_Cn_SpineC,keyFrameIndexBone#srfBind_Cn_Neck,keyFrameIndexBone#srfBind_Cn_Head,keyFrameIndexBone#Bone_Eye_L,keyFrameIndexBone#srfBind_Lf_Eye,keyFrameIndexBone#Bone_Eye_R,keyFrameIndexBone#srfBind_Rt_Eye,keyFrameIndexBone#srfBind_Lf_ArmA,keyFrameIndexBone#srfBind_Lf_ArmB,keyFrameIndexBone#srfBind_Lf_ArmD,keyFrameIndexBone#Hand_L,keyFrameIndexBone#srfBind_Rt_ArmA,keyFrameIndexBone#srfBind_Rt_ArmB,keyFrameIndexBone#srfBind_Rt_ArmD,keyFrameIndexBone#Hand_R,keyFrameIndexBone#srfBind_Lf_LegA,keyFrameIndexBone#srfBind_Lf_LegC,keyFrameIndexBone#srfBind_Lf_FootA,keyFrameIndexBone#srfBind_Rt_LegA,keyFrameIndexBone#srfBind_Rt_LegC,keyFrameIndexBone#srfBind_Rt_FootA
12,11,14,11,12,12,13,13,15,12,15,12,12,8,13,12,12,8,12,11,13,12,12,10,10,9
21,21,21,27,22,22,27,27,25,21,25,21,21,22,22,17,21,22,19,25,21,28,22,21,21,21
36,31,31,36,34,34,40,40,40,36,40,36,36,29,43,30,36,40,36,30,35,35,36,35,40,35
52,49,52,49,53,53,47,46,48,52,48,52,52,52,48,59,52,46,49,53,51,59,54,52,59,56
67,67,67,69,62,67,72,71,63,67,63,67,67,66,67,65,67,69,69,65,67,68,65,67,67,61
