keyFrameIndex,keyFrameIndexRoot,keyFrameIndexBone#srfBind_Cn_Pelvis,keyFrameIndexBone#srfBind_Cn_SpineA,keyFrameIndexBone#srfBind_Cn_SpineB,keyFrameIndexBone#srfBind_Cn_SpineC,keyFrameIndexBone#srfBind_Cn_Neck,keyFrameIndexBone#srfBind_Cn_Head
14,14,14,14,14,14,16,14
24,24,23,22,22,22,24,24
34,34,34,34,34,34,36,33
43,43,42,42,42,42,41,46
50,50,54,52,50,50,50,49
58,58,54,58,56,56,58,60
69,69,67,69,69,69,69,69
