intervalType,startFrame,endFrame,amplitude,pGS,pGF
GazeFixation,0,28,8.213269,0.2205275,0.7836838
GazeShift,28,40,82.21038,0.9768734,0.02024841
GazeFixation,40,56,8.409874,0.2228276,0.7801198
GazeShift,56,72,21.76669,0.6260834,0.4009783
GazeShift,72,83,47.20476,0.9314644,0.07732669
GazeFixation,83,100,11.33225,0.345535,0.6510125
GazeShift,100,109,47.73286,0.8943604,0.1309533
GazeFixation,109,163,41.68396,0.5193334,0.4849065
GazeShift,163,182,24.82789,0.6067728,0.4234203
GazeShift,182,194,44.14731,0.911189,0.09464193
GazeShift,194,218,15.27498,0.7088624,0.2957093
GazeFixation,218,229,23.29521,0.5340739,0.4550092
GazeShift,229,240,37.34557,0.7722824,0.2301414
GazeShift,240,263,37.59508,0.8108402,0.1996994
GazeShift,263,286,49.18242,0.7511023,0.237404
GazeShift,286,301,32.26396,0.8698471,0.1606012
GazeFixation,301,332,23.165,0.3811005,0.6231666
GazeShift,332,341,22.07552,0.767885,0.2360322
GazeFixation,341,357,47.13248,0.5241255,0.4773893
GazeShift,357,367,11.92471,0.7247187,0.298202
GazeFixation,367,379,4.653537,0.2640174,0.7381285
GazeShift,379,402,43.29605,0.6432668,0.3375903
GazeShift,402,410,22.97495,0.770722,0.2473403
GazeFixation,410,424,11.16486,0.2747999,0.7316937
GazeShift,424,448,13.21782,0.6488456,0.350905
GazeFixation,448,474,16.18197,0.5060605,0.5093219
GazeShift,474,499,76.95177,0.6714789,0.3428639
GazeShift,499,509,8.278252,0.6235918,0.40332
GazeFixation,509,522,1.725557,0.3270237,0.6521404
GazeShift,522,548,79.72311,0.6965497,0.3225411
GazeFixation,548,595,3.907206,0.3827329,0.6071774
GazeShift,595,619,57.24486,0.6823201,0.3323216
GazeFixation,619,673,51.1041,0.4865833,0.5190132
GazeShift,673,696,33.47707,0.7095648,0.2701297
GazeShift,696,711,55.83483,0.7319397,0.2920171
GazeShift,711,718,17.78555,0.7521985,0.2641983
GazeShift,718,745,35.75163,0.6579174,0.3488095
GazeShift,745,764,20.1143,0.7954556,0.2327963
