keyFrameIndex,keyFrameIndexRoot,keyFrameIndexBone#srfBind_Cn_Pelvis,keyFrameIndexBone#srfBind_Cn_SpineA,keyFrameIndexBone#srfBind_Cn_SpineB,keyFrameIndexBone#srfBind_Cn_SpineC,keyFrameIndexBone#srfBind_Cn_Neck,keyFrameIndexBone#srfBind_Cn_Head
11,11,11,9,11,11,11,12
24,24,20,24,23,23,24,25
31,31,29,31,34,34,31,29
43,43,43,43,43,45,43,42
61,61,61,61,61,61,61,61
85,85,87,85,82,82,85,88
101,101,104,101,103,103,101,99
112,112,112,112,112,112,112,113
128,128,130,128,128,128,128,127
137,137,137,137,133,133,137,138
150,150,150,150,150,150,150,150
168,168,168,168,168,168,168,168
179,179,179,179,179,179,179,179
189,189,189,189,189,189,189,189
208,208,211,208,208,208,208,208
