vRoot,vBones#srfBind_Cn_Pelvis,vBones#srfBind_Cn_SpineA,vBones#srfBind_Cn_SpineB,vBones#srfBind_Cn_SpineC,vBones#srfBind_Cn_Neck,vBones#srfBind_Cn_Head,aRoot,aBones#srfBind_Cn_Pelvis,aBones#srfBind_Cn_SpineA,aBones#srfBind_Cn_SpineB,aBones#srfBind_Cn_SpineC,aBones#srfBind_Cn_Neck,aBones#srfBind_Cn_Head,p0Root,p0Bones#srfBind_Cn_Pelvis,p0Bones#srfBind_Cn_SpineA,p0Bones#srfBind_Cn_SpineB,p0Bones#srfBind_Cn_SpineC,p0Bones#srfBind_Cn_Neck,p0Bones#srfBind_Cn_Head,pRoot,pBones#srfBind_Cn_Pelvis,pBones#srfBind_Cn_SpineA,pBones#srfBind_Cn_SpineB,pBones#srfBind_Cn_SpineC,pBones#srfBind_Cn_Neck,pBones#srfBind_Cn_Head,wRoot,wBones#srfBind_Cn_Pelvis,wBones#srfBind_Cn_SpineA,wBones#srfBind_Cn_SpineB,wBones#srfBind_Cn_SpineC,wBones#srfBind_Cn_Neck,wBones#srfBind_Cn_Head,pEndEff#Hand_L,pEndEff#Hand_R,pEndEff#srfBind_Lf_FootA,pEndEff#srfBind_Rt_FootA,wEndEff#Hand_L,wEndEff#Hand_R,wEndEff#srfBind_Lf_FootA,wEndEff#srfBind_Rt_FootA,p0,p
0,43.30328,30.76912,61.38985,61.38985,0,174.5071,0,2471.946,1213.824,2425.077,2425.077,0,5577.999,0,1,1,1,1,0,1,0,0.8352825,0.8700187,0.8607794,0.8604496,0,0.8467397,0.3341463,0.3341463,0.3431738,0.4024452,0.451546,0.6745229,1,0,0,0,0,0,0,0,0,0.7895952,0.6065006
0,43.30328,30.76912,61.38985,61.38985,0,174.5071,0,2471.946,1213.824,2425.077,2425.077,0,5577.999,0,1,1,1,1,0,1,0,0.7829043,0.8197779,0.8069519,0.8066949,0,0.788658,0.3341463,0.3341463,0.3431738,0.4024452,0.451546,0.6745229,1,0,0,0,0,0,0,0,0,0.7895952,0.5462224
0,41.16843,11.00724,22.20566,22.20566,0,13.79101,0,1146.126,94.21048,222.3733,225.2062,0,912.0182,0,0.4636533,0.07761461,0.09169739,0.09286557,0,0.1635028,0,0.4065398,0.1168861,0.1617032,0.1625538,0,0.2332776,0.3341463,0.3341463,0.3431738,0.4024452,0.451546,0.6745229,1,0,0,0,0,0,0,0,0,0.1322284,0.2083744
0,13.21722,8.722198,16.53218,16.53218,0,42.43235,0,318.4897,100.7152,347.0661,347.0661,0,957.4605,0,0.1288417,0.0829735,0.1431155,0.1431155,0,0.1716495,0,0.2145427,0.08811963,0.1482944,0.1487202,0,0.2050668,0.3341463,0.3341463,0.3431738,0.4024452,0.451546,0.6745229,1,0,0,0,0,0,0,0,0,0.1139782,0.1658555
0,3.140349,5.173754,5.439245,5.439245,0,12.10447,0,236.1982,0,79.62239,87.22195,0,504.8341,0,0.09555152,0,0.03283293,0.03596667,0,0.09050451,0,0.1786377,0.05734611,0.111557,0.1122033,0,0.1730246,0.3341463,0.3341463,0.3431738,0.4024452,0.451546,0.6745229,1,0,0,0,0,0,0,0,0,0.04737823,0.1287236
0,9.715529,5.173754,3.936636,4.111682,0,15.01375,0,268.8362,0,118.0991,112.6031,0,703.2072,0,0.1087549,0,0.0486991,0.04643278,0,0.126068,0,0.1522629,0.03763901,0.09421266,0.09434377,0,0.157822,0.3341463,0.3341463,0.3431738,0.4024452,0.451546,0.6745229,1,0,0,0,0,0,0,0,0,0.06331373,0.1024627
0,18.57858,5.814797,7.022036,7.022036,0,37.19519,0,198.2582,0,256.7745,256.7745,0,969.9598,0,0.08020327,0,0.105883,0.105883,0,0.1738903,0,0.1302966,0.02470009,0.08076902,0.08089489,0,0.1471063,0.3341463,0.3341463,0.3431738,0.4024452,0.451546,0.6745229,1,0,0,0,0,0,0,0,0,0.09080728,0.08420978
0,24.75566,7.022036,15.15385,15.15385,0,67.60462,0,123.3505,50.35762,318.4897,318.4897,0,844.9006,0,0.04990014,0.04148675,0.1313318,0.1313318,0,0.1514702,0,0.1110953,0.0189685,0.07458809,0.07459784,0,0.14153,0.3341463,0.3341463,0.3431738,0.4024452,0.451546,0.6745229,1,0,0,0,0,0,0,0,0,0.09187546,0.07765117
0,25.56754,8.802588,25.62258,25.62258,0,94.65358,0,540.0259,61.67524,142.4329,142.4329,0,788.2233,0,0.2184618,0.05081069,0.05873333,0.05873333,0,0.1413093,0,0.1115365,0.01384317,0.06493576,0.0649219,0,0.1382429,0.3341463,0.3341463,0.3431738,0.4024452,0.451546,0.6745229,1,0,0,0,0,0,0,0,0,0.08793411,0.07341018
0,8.308585,10.74821,23.2895,23.2895,0,119.64,0,425.8126,0,151.0729,151.0729,0,956.7982,0,0.172258,0,0.06229611,0.06229611,0,0.1715307,0,0.1073228,0.01240952,0.06113487,0.06099201,0,0.1452208,0.3341463,0.3341463,0.3431738,0.4024452,0.451546,0.6745229,1,0,0,0,0,0,0,0,0,0.08805522,0.07398994
