intervalType,startFrame,endFrame,amplitude,pGS,pGF
GazeFixation,0,9,12.77269,0.3400515,0.6590192
GazeShift,9,24,52.21154,0.605033,0.3817199
GazeFixation,24,52,3.293307,0.3665282,0.6195548
GazeShift,52,64,7.313998,0.509591,0.5093143
GazeFixation,64,150,36.13992,0.3298703,0.6722816
GazeShift,150,159,16.23108,0.5159485,0.4821185
GazeFixation,159,170,10.92251,0.4177372,0.5827445
GazeShift,170,185,42.28122,0.5800004,0.4138883
GazeShift,185,191,22.84104,0.6711173,0.3235801
GazeFixation,191,201,5.811531,0.1669347,0.8350427
GazeShift,201,224,44.97964,0.6775413,0.3225365
