intervalType,startFrame,endFrame,amplitude,pGS,pGF
GazeFixation,0,6,6.452543,0.1797164,0.8205696
GazeShift,6,21,53.39507,0.9009029,0.09295841
GazeShift,21,32,19.67138,0.6017299,0.3997014
GazeShift,32,55,51.28942,0.7424614,0.2779319
GazeShift,55,69,10.03897,0.6625285,0.3529472
GazeFixation,69,119,91.51935,0.5814236,0.4103102
GazeShift,119,130,19.43947,0.8026503,0.1954288
GazeFixation,130,168,20.20148,0.3130538,0.6845383
GazeShift,168,182,12.31907,0.7659386,0.2601472
GazeFixation,182,194,0.7815963,0.22412,0.7658128
GazeShift,194,214,27.4881,0.7361146,0.282981
GazeFixation,214,258,16.11591,0.4340708,0.5530969
GazeShift,258,267,5.668839,0.6373316,0.3746704
GazeShift,267,285,30.17752,0.7222412,0.27608
GazeFixation,285,311,2.37784,0.3905279,0.6038087
GazeShift,311,319,6.389177,0.6245085,0.4068615
GazeShift,319,332,22.27485,0.6166967,0.3897116
GazeShift,332,342,20.23413,0.8103057,0.2140699
GazeFixation,342,393,13.79482,0.4576332,0.5493984
GazeShift,393,416,51.20641,0.8194119,0.1628137
GazeFixation,416,476,2.657486,0.2476909,0.7585614
GazeShift,476,486,53.79328,0.7957935,0.1992038
GazeShift,486,504,36.59066,0.8349609,0.1850881
GazeFixation,504,520,3.061582,0.5372921,0.4818552
GazeShift,520,533,9.483071,0.6476316,0.3666625
GazeFixation,533,593,29.76274,0.5110464,0.4838446
GazeShift,593,602,6.571995,0.678302,0.337388
GazeFixation,602,616,9.742271,0.5391576,0.4434133
GazeShift,616,626,15.68151,0.8154779,0.1929914
GazeFixation,626,675,13.62375,0.5028149,0.512076
GazeShift,675,695,16.50767,0.6412488,0.3395501
GazeFixation,695,719,3.877524,0.298576,0.7160399
GazeShift,719,747,50.25546,0.9013032,0.1118295
GazeShift,747,761,38.90805,0.8401142,0.1649245
GazeShift,761,779,19.28177,0.681321,0.3397478
GazeFixation,779,824,10.7087,0.3687395,0.6397741
GazeShift,824,834,36.15394,0.7445182,0.2486854
GazeShift,834,848,40.42968,0.8009999,0.185437
GazeFixation,848,858,3.394134,0.1902688,0.7970253
GazeShift,858,869,8.433216,0.6767377,0.3354014
GazeFixation,869,896,10.11805,0.4174154,0.6083441
GazeShift,896,908,7.7765,0.6483294,0.3613037
GazeFixation,908,925,8.76652,0.446564,0.5386813
GazeShift,925,936,14.10953,0.7757879,0.2569005
GazeFixation,936,960,7.56683,0.2618886,0.7374203
GazeShift,960,979,25.75902,0.7302428,0.273042
GazeFixation,979,1006,13.35069,0.551495,0.442611
GazeShift,1006,1017,25.89479,0.6296227,0.3681597
GazeShift,1017,1031,10.27244,0.6577455,0.368389
GazeFixation,1031,1043,6.423732,0.4095169,0.6224172
GazeShift,1043,1059,52.52139,0.8488781,0.1694924
GazeShift,1059,1076,28.3985,0.8089852,0.1893043
GazeFixation,1076,1113,4.394806,0.1396246,0.8640693
GazeShift,1113,1122,12.96703,0.6171235,0.4096424
GazeFixation,1122,1141,47.69692,0.490224,0.5169264
GazeShift,1141,1151,38.713,0.904839,0.09495358
