intervalType,startFrame,endFrame,amplitude,pGS,pGF
GazeShift,0,14,14.8861,0.7317502,0.2842908
GazeShift,14,24,23.74674,0.6476949,0.3411753
GazeFixation,24,34,9.187119,0.3798258,0.6436088
GazeShift,34,43,9.455027,0.7357761,0.2970548
GazeFixation,43,69,16.24831,0.2786828,0.7361547
