keyFrameIndex,keyFrameIndexRoot,keyFrameIndexBone#Bone_Hips,keyFrameIndexBone#Bone_SpineA,keyFrameIndexBone#Bone_SpineB,keyFrameIndexBone#Bone_SpineC,keyFrameIndexBone#Bone_Neck,keyFrameIndexBone#Bone_Head,keyFrameIndexBone#Bone_Eye_L 1,keyFrameIndexBone#Bone_Eye_R 1,keyFrameIndexBone#Bone_Shoulder_L,keyFrameIndexBone#Bone_UpperArm_L,keyFrameIndexBone#Bone_Forearm_L,keyFrameIndexBone#Bone_Hand_L,keyFrameIndexBone#Bone_Shoulder_R,keyFrameIndexBone#Bone_UpperArm_R,keyFrameIndexBone#Bone_Forearm_R,keyFrameIndexBone#Bone_Hand_R,keyFrameIndexBone#Bone_UpperLeg_L,keyFrameIndexBone#Bone_LowerLeg_L,keyFrameIndexBone#Bone_Foot_L,keyFrameIndexBone#Bone_Toes_L,keyFrameIndexBone#Bone_UpperLeg_R,keyFrameIndexBone#Bone_LowerLeg_R,keyFrameIndexBone#Bone_Foot_R
15,14,14,15,16,16,15,15,12,11,15,15,13,15,18,14,15,16,13,15,16,15,12,15,13
23,26,24,30,26,26,23,23,23,23,23,22,23,21,23,23,21,23,25,25,23,23,27,23,24
48,52,48,48,52,52,48,48,43,43,48,47,41,47,52,42,42,41,48,51,48,48,47,51,48
57,54,54,57,57,57,57,57,54,61,57,53,54,55,57,57,56,60,56,57,55,57,55,57,54
66,66,66,66,66,66,66,66,63,66,66,62,64,63,66,65,65,65,66,66,66,66,66,63,66
74,73,74,74,74,74,74,74,77,78,74,73,73,81,74,74,76,74,72,76,75,74,74,74,75
94,94,94,94,94,94,94,94,87,88,94,91,94,95,94,94,95,94,94,94,94,94,94,94,94
117,117,116,115,119,119,117,117,112,111,120,120,119,119,119,119,115,116,118,117,116,117,116,118,117
125,125,123,124,126,126,125,125,125,125,128,128,126,125,125,125,125,123,128,127,126,125,127,127,124
135,139,131,137,135,135,134,134,133,134,135,134,134,135,137,134,131,137,138,134,137,135,136,135,135
143,143,146,143,143,143,143,143,143,140,146,143,146,145,147,143,146,147,143,143,141,142,143,144,141
151,152,151,149,148,148,151,151,151,148,151,150,152,152,156,150,158,154,152,156,151,148,148,151,155
172,169,166,178,176,176,166,166,168,174,178,172,177,175,174,174,174,174,174,178,165,170,175,176,175
184,179,185,184,184,184,184,184,181,182,186,186,187,184,190,187,188,179,184,184,187,186,180,183,183
200,200,204,202,205,205,200,200,205,205,206,201,206,207,196,198,206,200,203,199,199,200,198,204,200
214,214,215,213,211,211,214,214,220,219,221,221,215,207,215,218,218,218,212,218,213,212,209,212,213
229,228,222,228,227,227,229,229,227,227,229,228,222,223,224,229,226,231,223,227,226,227,227,230,230
241,245,242,237,237,237,242,242,236,244,240,240,240,241,248,247,247,240,239,239,243,245,238,237,237
259,256,253,256,253,253,259,260,263,263,253,254,255,255,259,260,252,253,252,260,252,259,254,259,253
270,273,269,270,272,272,270,270,270,270,274,265,270,272,268,269,265,272,266,270,270,270,269,267,271
278,281,278,279,280,280,278,278,283,283,274,275,280,278,280,277,279,274,278,277,278,278,278,276,282
288,288,287,294,294,294,288,288,283,283,288,285,284,284,289,288,294,288,284,289,290,288,284,287,288
306,303,305,305,307,307,306,306,303,303,306,305,306,309,306,304,306,304,305,306,307,307,305,307,303
314,314,319,319,314,314,314,314,320,320,316,316,316,316,318,314,318,314,318,312,314,313,318,313,317
327,321,334,327,321,321,328,328,330,326,325,325,328,332,327,327,330,325,324,324,324,325,326,330,329
345,349,340,347,346,346,345,345,351,344,347,348,342,346,345,345,344,348,344,341,344,345,338,345,345
357,357,362,355,353,353,357,357,351,352,362,357,358,353,362,359,363,359,357,357,357,352,359,353,352
370,374,367,365,371,371,370,370,366,369,372,364,364,366,372,365,371,368,373,371,371,370,365,370,366
379,384,384,380,378,378,379,379,377,384,384,384,381,380,379,384,383,380,382,383,384,383,381,383,381
391,389,398,389,394,394,390,390,394,394,395,393,392,398,397,394,390,386,390,387,388,389,393,392,395
414,412,407,409,417,417,414,414,410,421,409,408,410,410,415,421,411,411,413,409,417,419,407,417,419
433,432,432,429,431,431,433,433,431,431,436,433,437,435,433,433,427,439,430,434,433,431,433,429,431
446,447,445,446,450,443,440,440,448,446,446,446,444,442,444,444,450,452,445,442,444,446,445,449,448
