intervalType,startFrame,endFrame,amplitude,pGS,pGF
GazeFixation,0,10,7.694803,0.2307706,0.7867069
GazeShift,10,17,28.66875,0.9242166,0.09384813
GazeFixation,17,54,6.55975,0.2668987,0.734924
GazeShift,54,61,12.96426,0.6044372,0.4084418
GazeFixation,61,72,16.31531,0.4982858,0.5056098
GazeShift,72,82,7.551384,0.6642709,0.3469507
GazeFixation,82,92,1.210469,0.2260315,0.7877343
GazeShift,92,101,19.49198,0.621632,0.38653
GazeFixation,101,117,22.32328,0.3695132,0.6250958
GazeShift,117,130,31.56235,0.8591356,0.1765167
GazeFixation,130,144,19.85488,0.4123941,0.5954255
GazeShift,144,150,6.324682,0.6417688,0.3832695
GazeFixation,150,168,2.889138,0.09023711,0.9097629
GazeShift,168,179,26.37844,0.6702293,0.3243746
GazeShift,179,192,53.67731,0.760322,0.2268289
GazeFixation,192,218,12.6983,0.3622867,0.6321915
GazeShift,218,227,29.33975,0.6468629,0.3270103
GazeShift,227,234,23.91747,0.6245562,0.3751619
GazeShift,234,246,28.6093,0.7769725,0.2357173
GazeFixation,246,296,23.127,0.494035,0.5275278
GazeShift,296,306,58.33444,0.8992363,0.09465638
GazeFixation,306,335,7.796187,0.3514195,0.6575667
GazeShift,335,355,57.25356,0.862615,0.149318
GazeShift,355,377,27.27575,0.639279,0.3561082
GazeShift,377,388,13.95776,0.5776499,0.4599311
GazeFixation,388,424,12.90586,0.3101337,0.6908092
GazeShift,424,430,15.26353,0.6252961,0.4005589
GazeShift,430,441,45.62622,0.7847992,0.2270121
GazeShift,441,458,13.08005,0.563019,0.4026775
GazeFixation,458,474,16.73376,0.3567698,0.6424851
GazeShift,474,483,25.00125,0.7880697,0.2317788
GazeShift,483,510,50.39828,0.7736919,0.2164808
GazeShift,510,519,38.01311,0.8331965,0.1737937
GazeShift,519,533,13.08632,0.5613973,0.4330865
GazeFixation,533,578,28.25234,0.2852235,0.7179191
GazeShift,578,587,44.57217,0.9401608,0.06110483
GazeFixation,587,629,2.021101,0.2785568,0.7267756
GazeShift,629,639,36.18813,0.8875771,0.1083338
GazeFixation,639,648,26.02028,0.4988699,0.5130313
GazeShift,648,657,32.4118,0.8409503,0.1865463
GazeShift,657,683,39.98595,0.6596088,0.359488
GazeFixation,683,717,5.303745,0.1906154,0.8201898
GazeShift,717,733,56.94075,0.5780727,0.4195896
GazeShift,733,741,23.65864,0.5754372,0.4306134
GazeFixation,741,792,13.79679,0.2877844,0.730935
GazeShift,792,804,23.67409,0.7495459,0.2550843
GazeShift,804,820,61.03729,0.9767946,0.06098632
GazeShift,820,836,30.84998,0.7423677,0.2414797
GazeShift,836,850,10.7085,0.718623,0.3097537
GazeFixation,850,873,11.4479,0.3014853,0.7215073
GazeShift,873,887,16.49306,0.5501027,0.4562228
GazeFixation,887,894,20.75906,0.3803537,0.6196463
GazeShift,894,904,66.40908,0.9149563,0.1052059
GazeFixation,904,943,12.43153,0.4086212,0.5885088
GazeShift,943,959,75.69958,0.9509746,0.07942451
GazeFixation,959,979,14.16327,0.4254552,0.5715089
GazeShift,979,994,19.89343,0.7444806,0.2567396
GazeFixation,994,1024,14.74349,0.3534168,0.6353619
GazeShift,1024,1031,34.20521,0.6748114,0.320745
GazeShift,1031,1044,36.14569,0.5690345,0.4424712
GazeFixation,1044,1061,8.987168,0.5054543,0.4999101
GazeShift,1061,1073,14.91352,0.7271314,0.2854466
GazeFixation,1073,1086,8.442386,0.2970078,0.6956934
GazeShift,1086,1096,11.23596,0.5839583,0.4214879
