keyFrameIndex,keyFrameIndexRoot,keyFrameIndexBone#srfBind_Cn_Pelvis,keyFrameIndexBone#srfBind_Cn_SpineA,keyFrameIndexBone#srfBind_Cn_SpineB,keyFrameIndexBone#srfBind_Cn_SpineC,keyFrameIndexBone#srfBind_Cn_Neck,keyFrameIndexBone#srfBind_Cn_Head,keyFrameIndexBone#Bone_Eye_L,keyFrameIndexBone#srfBind_Lf_Eye,keyFrameIndexBone#Bone_Eye_R,keyFrameIndexBone#srfBind_Rt_Eye,keyFrameIndexBone#srfBind_Lf_ArmA,keyFrameIndexBone#srfBind_Lf_ArmB,keyFrameIndexBone#srfBind_Lf_ArmD,keyFrameIndexBone#Hand_L,keyFrameIndexBone#srfBind_Rt_ArmA,keyFrameIndexBone#srfBind_Rt_ArmB,keyFrameIndexBone#srfBind_Rt_ArmD,keyFrameIndexBone#Hand_R,keyFrameIndexBone#srfBind_Lf_LegA,keyFrameIndexBone#srfBind_Lf_LegC,keyFrameIndexBone#srfBind_Lf_FootA,keyFrameIndexBone#srfBind_Rt_LegA,keyFrameIndexBone#srfBind_Rt_LegC,keyFrameIndexBone#srfBind_Rt_FootA
15,15,14,11,18,15,16,15,15,12,15,12,15,13,15,15,15,13,19,12,15,15,18,12,19,11
23,21,22,22,23,23,24,24,24,24,24,24,23,22,21,22,23,23,19,24,27,28,25,21,19,22
34,35,34,34,34,34,34,34,34,29,34,29,34,33,36,37,34,34,32,33,32,35,33,35,34,34
42,41,41,42,41,41,41,46,38,48,38,48,42,48,42,43,42,45,45,46,41,44,43,42,41,47
54,54,54,54,56,56,50,60,55,59,61,58,54,56,56,49,54,49,52,56,54,52,54,54,59,59
69,66,67,69,70,70,70,69,62,72,69,62,69,63,62,66,69,68,67,68,68,67,64,67,66,71
