keyFrameIndex,keyFrameIndexRoot,keyFrameIndexBone#srfBind_Cn_Pelvis,keyFrameIndexBone#srfBind_Cn_SpineA,keyFrameIndexBone#srfBind_Cn_SpineB,keyFrameIndexBone#srfBind_Cn_SpineC,keyFrameIndexBone#srfBind_Cn_Neck,keyFrameIndexBone#srfBind_Cn_Head
9,9,8,9,9,9,9,12
24,24,26,24,24,24,24,24
39,39,38,39,43,43,39,40
52,52,51,52,53,53,52,54
64,64,63,64,64,64,64,64
77,77,76,77,80,79,77,77
88,88,91,88,86,86,88,89
102,102,102,102,102,102,102,106
118,118,118,118,119,120,118,117
129,129,129,129,129,129,129,130
140,140,143,140,138,138,140,140
150,150,148,150,150,150,150,153
159,159,162,159,158,158,159,157
170,170,170,170,170,170,170,169
185,185,182,185,185,185,185,182
191,191,191,191,191,191,191,191
201,201,200,201,203,203,201,201
224,224,224,224,227,227,224,221
