intervalType,startFrame,endFrame,amplitude,pGS,pGF
GazeFixation,0,13,6.141429,0.2873185,0.7126127
GazeShift,13,25,22.41626,0.5621889,0.4212638
GazeFixation,25,40,7.564392,0.3668551,0.6408476
GazeShift,40,48,17.3493,0.5234251,0.4779175
