Character,AnimationClirp,StartFrame,FixationStartFrame,FixationEndFrame,HeadAlign,TorsoAlign,TurnBody
Norman,StealDiamond,82,106,118,,-1,-1,True
Norman,StealDiamond,131,148,203,,-1,-1,True
Norman,StealDiamond,258,274,279,Floor,-1,-1,True
