Character,AnimationClirp,StartFrame,FixationStartFrame,FixationEndFrame,HeadAlign,TorsoAlign,TurnBody
Norman,WaitForBus,29,49,49,Target,-1,-1,True
Norman,WaitForBus,49,72,75,Target,-1,-1,True
Norman,WaitForBus,78,97,98,Target,-1,-1,True
Norman,WaitForBus,100,125,127,Target,-1,-1,True
Norman,WaitForBus,130,162,171,Target,-1,-1,True
Norman,WaitForBus,180,206,228,Target,-1,-1,True
Norman,WaitForBus,250,295,315,Target,-1,-1,True
Norman,WaitForBus,336,351,371,Target,-1,-1,True
Norman,WaitForBus,392,408,408,Target,-1,-1,True
Norman,WaitForBus,408,428,438,Target,-1,-1,True
Norman,WaitForBus,448,480,478,Target,-1,-1,True
Norman,WaitForBus,477,506,510,Target,-1,-1,True
Norman,WaitForBus,514,530,537,Target,-1,-1,True
Norman,WaitForBus,545,568,578,Target,-1,-1,True
Norman,WaitForBus,588,595,602,Target,-1,-1,True
Norman,WaitForBus,609,642,650,Target,-1,-1,True
Norman,WaitForBus,659,682,689,Target,-1,-1,True
Norman,WaitForBus,697,722,726,Target,-1,-1,True
Norman,WaitForBus,730,761,771,Target,-1,-1,True
Norman,WaitForBus,782,804,806,Target,-1,-1,True
Norman,WaitForBus,808,824,835,Target,-1,-1,True
Norman,WaitForBus,846,872,892,Target,-1,-1,True
Norman,WaitForBus,913,947,949,Target,-1,-1,True
Norman,WaitForBus,951,966,968,Target,-1,-1,True
Norman,WaitForBus,971,990,1002,Target,-1,-1,True
Norman,WaitForBus,1014,1020,1028,Target,-1,-1,True
Norman,WaitForBus,1036,1058,1082,Target,-1,-1,True
Norman,WaitForBus,1107,1123,1136,Target,-1,-1,True
Norman,WaitForBus,1150,1163,1166,Target,-1,-1,True
Norman,WaitForBus,1169,1190,1200,Target,-1,-1,True
Norman,WaitForBus,1211,1232,1235,Target,-1,-1,True
Norman,WaitForBus,1238,1269,1275,Target,-1,-1,True
Norman,WaitForBus,1282,1303,1310,Target,-1,-1,True
Norman,WaitForBus,1317,1334,1343,Target,-1,-1,True
Norman,WaitForBus,1352,1364,1387,Target,-1,-1,True
Norman,WaitForBus,1410,1422,1426,Target,-1,-1,True
Norman,WaitForBus,1430,1443,1451,Target,-1,-1,True
Norman,WaitForBus,1459,1470,1487,Target,-1,-1,True
Norman,WaitForBus,1505,1533,1538,Target,-1,-1,True
