Character,AnimationClip,StartFrame,FixationStartFrame,FixationEndFrame,Target,HeadAlign,TorsoAlign,TurnBody
Norman,WindowWashingA,5,36,41,WindowUpperRight,-1,-1,True
Norman,WindowWashingA,45,79,90,WindowUpperLeft,-1,-1,True
Norman,WindowWashingA,105,127,128,WindowCenterRight,-1,-1,True
Norman,WindowWashingA,129,140,145,WindowLowerRight,-1,-1,True
Norman,WindowWashingA,147,159,163,WindowCenterRight,-1,-1,True
Norman,WindowWashingA,167,199,205,WindowLowerLeft,-1,-1,True
Norman,WindowWashingA,212,230,234,Bucket,-1,-1,True
Norman,WindowWashingA,238,271,273,WindowUpperRight,-1,-1,True
Norman,WindowWashingA,276,304,308,WindowUpperLeft,-1,-1,True
Norman,WindowWashingA,310,344,346,WindowUpperRight,-1,-1,True
Norman,WindowWashingA,348,383,386,AboveBucket,-1,-1,True
Norman,WindowWashingA,389,433,436,WindowUpperRight,-1,-1,True
Norman,WindowWashingA,439,467,470,WindowUpperLeft,-1,-1,True
Norman,WindowWashingA,472,495,497,WindowUpperRight,-1,-1,True
Norman,WindowWashingA,501,534,535,Bucket,-1,-1,True
Norman,WindowWashingA,536,583,585,WindowCenterRight,-1,-1,True
Norman,WindowWashingA,586,605,608,WindowLowerLeft,-1,-1,True
Norman,WindowWashingA,611,633,635,WindowCenterRight,-1,-1,True
Norman,WindowWashingA,637,663,667,Bucket,-1,-1,True
Norman,WindowWashingA,671,680,702,WindowUpperCenter,-1,-1,True
