0,0
0.1,2
0.195,15
0.345,6
0.545,0
1.295,0
1.395,18
1.5,3
1.575,13
1.63,21
1.705,6
1.905,0
2.155,17
2.2,1
2.25,19
2.375,3
2.555,15
2.655,6
2.715,15
2.785,21
2.87,13
2.91,6
2.945,19
2.975,6
3.05,20
3.17,14
3.205,6
3.26,13
3.33,20
3.41,1
3.565,19
3.645,0
3.895,21
3.96,1
4.1,19
4.15,6
4.205,15
4.305,1
4.36,19
4.44,3
4.535,14
4.6,17
4.65,1
4.7,7
4.79,4
4.99,0
5.74,0
5.84,21
5.88,1
5.93,19
5.985,17
6.035,4
6.1,19
6.145,1
6.2,20
6.265,4
6.425,19
6.55,0
6.8,2
6.89,18
6.955,19
7.02,4
7.1,18
7.14,1
7.18,13
7.22,21
7.28,6
7.34,19
7.41,4
7.49,19
7.53,6
7.605,7
7.675,4
7.75,13
7.825,4
7.925,14
8.02,15
8.22,0
