0,0
0.1,2
0.195,15
0.345,6
0.545,0
1.295,0
1.395,1
1.475,19
1.525,12
1.615,2
1.72,19
1.79,1
1.865,15
1.945,6
2.015,3
2.05,13
2.125,12
2.22,8
2.3,21
2.385,19
2.46,2
2.615,19
2.685,20
2.75,1
2.785,21
2.85,21
2.935,4
2.99,13
3.05,19
3.12,4
3.16,21
3.225,1
3.37,19
3.405,6
3.46,15
3.56,1
3.62,19
3.745,0
4.495,0
4.595,7
4.66,2
4.715,19
4.755,2
4.805,13
4.87,15
4.99,1
5.055,21
5.14,19
5.255,6
5.34,20
5.44,15
5.52,6
5.565,7
5.62,21
5.705,13
5.75,6
5.775,18
5.88,5
5.95,13
6.015,1
6.085,21
6.13,2
6.255,19
6.32,6
6.395,3
6.425,13
6.505,12
6.595,8
6.675,21
6.76,19
6.835,2
7.015,19
7.14,0
7.39,1
7.45,19
7.53,18
7.59,2
7.745,15
7.85,18
7.915,5
7.975,13
8.02,15
8.12,1
8.29,0
