Character,AnimationClip,StartFrame,EndFrame,Target,HeadAlign,TorsoAlign,TurnBody
Norman,InitialPoseGaze1,1,29,UpperRight,1,0.3,True
Norman,InitialPoseGaze2,36,78,null,1,0.3,True
