ExpressiveGazeClip,GazeInstance,GazeShiftRotation
WindowWashingAGaze1-Expressive0,WindowWashingAGaze1,"-0.0787403 -0.03905131 -0.02681994"
WindowWashingAGaze1-Expressive1,WindowWashingAGaze1,"0 0 0"
WindowWashingAGaze1-Expressive2,WindowWashingAGaze1,"0.003555564 0.0009597369 0.002036967"
WindowWashingAGaze1-Expressive3,WindowWashingAGaze1,"-0.003348436 -0.001372888 -0.001678315"
WindowWashingAGaze1-Expressive4,WindowWashingAGaze1,"-0.003683331 -0.001531214 -0.001747669"
WindowWashingAGaze2-Expressive0,WindowWashingAGaze2,"-0.01151561 0.04854891 -0.01311725"
WindowWashingAGaze2-Expressive1,WindowWashingAGaze2,"0 0 0"
WindowWashingAGaze2-Expressive2,WindowWashingAGaze2,"-0.01113232 0.02015897 -0.002570726"
WindowWashingAGaze2-Expressive3,WindowWashingAGaze2,"-0.01139892 0.01957939 -0.002764234"
WindowWashingAGaze2-Expressive4,WindowWashingAGaze2,"-0.007805834 0.01044047 -0.001787012"
WindowWashingAGaze3-Expressive0,WindowWashingAGaze3,"0.09095073 0.09584239 0.02747663"
WindowWashingAGaze3-Expressive1,WindowWashingAGaze3,"0 0 0"
WindowWashingAGaze3-Expressive2,WindowWashingAGaze3,"0.01481317 -0.009243254 0.009077724"
WindowWashingAGaze3-Expressive3,WindowWashingAGaze3,"0.01429662 -0.005699399 0.008440448"
WindowWashingAGaze3-Expressive4,WindowWashingAGaze3,"0.007818112 -0.001890024 0.00433099"
WindowWashingAGaze4-Expressive0,WindowWashingAGaze4,"0.00291798 -0.007532456 -0.004023955"
WindowWashingAGaze4-Expressive1,WindowWashingAGaze4,"0 0 0"
WindowWashingAGaze4-Expressive2,WindowWashingAGaze4,"-0.008073448 0.0261295 0.004817668"
WindowWashingAGaze4-Expressive3,WindowWashingAGaze4,"-0.008075399 0.02705665 0.00382395"
WindowWashingAGaze4-Expressive4,WindowWashingAGaze4,"-0.003420186 0.009194336 0.0008330849"
WindowWashingAGaze5-Expressive0,WindowWashingAGaze5,"-0.1677164 0.02607161 0.5866808"
WindowWashingAGaze5-Expressive1,WindowWashingAGaze5,"0 0 0"
WindowWashingAGaze5-Expressive2,WindowWashingAGaze5,"0.04996154 0.03079115 -0.004126697"
WindowWashingAGaze5-Expressive3,WindowWashingAGaze5,"0.04778618 0.03036316 -0.002171187"
WindowWashingAGaze5-Expressive4,WindowWashingAGaze5,"0.02332472 0.01912423 0.0002013248"
WindowWashingAGaze6-Expressive0,WindowWashingAGaze6,"-0.06462375 0.4768871 -0.4023089"
WindowWashingAGaze6-Expressive1,WindowWashingAGaze6,"0 0 0"
WindowWashingAGaze6-Expressive2,WindowWashingAGaze6,"-0.04441354 -0.04210785 -0.02201757"
WindowWashingAGaze6-Expressive3,WindowWashingAGaze6,"-0.04780721 -0.04724902 -0.02196885"
WindowWashingAGaze6-Expressive4,WindowWashingAGaze6,"-0.02418726 -0.02312211 -0.01128557"
