KeyFrame,RootKeyFrame,BoneKeyFrames
14,14,"7 8 7 7 0 14 0 0 0 0 0 0 0 0 7 0 0 9 16 14 11 0 13 12 9 0 9 0 7 0 8 0 11 0 14 0 0 0"
24,23,"24 25 25 25 0 21 0 0 0 0 0 0 0 0 23 0 0 24 29 24 27 0 27 27 21 0 20 0 23 0 24 0 22 0 29 0 0 0"
35,34,"36 35 32 32 0 30 0 0 0 0 0 0 0 0 36 0 0 40 37 35 37 0 36 35 40 0 34 0 36 0 35 0 30 0 39 0 0 0"
45,43,"45 45 45 45 0 41 0 0 0 0 0 0 0 0 41 0 0 40 51 45 48 0 51 50 45 0 40 0 45 0 41 0 41 0 44 0 0 0"
63,63,"63 63 63 63 0 66 0 0 0 0 0 0 0 0 63 0 0 63 64 63 69 0 70 69 61 0 61 0 64 0 63 0 66 0 58 0 0 0"
83,76,"83 84 84 84 0 81 0 0 0 0 0 0 0 0 81 0 0 80 80 83 88 0 87 88 83 0 90 0 77 0 79 0 79 0 83 0 0 0"
105,103,"104 104 105 105 0 100 0 0 0 0 0 0 0 0 111 0 0 107 107 105 99 0 99 99 100 0 100 0 102 0 104 0 103 0 108 0 0 0"
117,116,"120 112 112 112 0 119 0 0 0 0 0 0 0 0 118 0 0 118 118 117 116 0 113 114 117 0 114 0 117 0 121 0 120 0 116 0 0 0"
126,123,"126 124 127 127 0 129 0 0 0 0 0 0 0 0 127 0 0 127 126 126 126 0 126 125 125 0 126 0 124 0 126 0 127 0 126 0 0 0"
134,134,"133 133 134 134 0 134 0 0 0 0 0 0 0 0 134 0 0 135 139 134 132 0 136 133 131 0 132 0 132 0 134 0 136 0 136 0 0 0"
147,150,"147 150 148 148 0 151 0 0 0 0 0 0 0 0 148 0 0 147 148 147 147 0 152 150 147 0 147 0 152 0 150 0 150 0 141 0 0 0"
162,162,"159 162 164 164 0 161 0 0 0 0 0 0 0 0 164 0 0 155 155 162 169 0 162 155 156 0 161 0 162 0 158 0 158 0 156 0 0 0"
179,173,"183 179 178 178 0 179 0 0 0 0 0 0 0 0 173 0 0 182 177 179 179 0 178 178 181 0 173 0 179 0 176 0 178 0 172 0 0 0"
187,187,"191 187 190 190 0 187 0 0 0 0 0 0 0 0 185 0 0 190 187 187 184 0 187 187 187 0 185 0 187 0 187 0 187 0 187 0 0 0"
195,195,"200 192 195 195 0 195 0 0 0 0 0 0 0 0 200 0 0 196 200 195 195 0 198 200 194 0 195 0 194 0 193 0 200 0 198 0 0 0"
208,210,"209 208 208 208 0 208 0 0 0 0 0 0 0 0 211 0 0 209 209 208 210 0 212 206 210 0 209 0 202 0 213 0 208 0 213 0 0 0"
223,223,"224 223 216 216 0 223 0 0 0 0 0 0 0 0 216 0 0 216 216 223 218 0 219 220 225 0 223 0 216 0 225 0 225 0 225 0 0 0"
