KeyFrame,RootKeyFrame,BoneKeyFrames
8,6,"8 8 8 8 0 8 0 0 0 0 0 0 0 11 0 0 8 12 8 15 0 8 12 0 7 0 8 0 8 0 8 0 8 0 6 0 0 0 0"
25,25,"25 25 25 25 0 18 0 0 0 0 0 0 0 25 0 0 25 25 25 28 0 26 25 0 25 0 25 0 20 0 25 0 25 0 25 0 0 0 0"
34,34,"34 34 34 34 0 31 0 0 0 0 0 0 0 36 0 0 38 34 34 37 0 32 32 0 34 0 34 0 30 0 33 0 40 0 34 0 0 0 0"
46,46,"46 48 46 46 0 46 0 0 0 0 0 0 0 49 0 0 50 49 46 43 0 47 43 0 46 0 48 0 46 0 50 0 40 0 46 0 0 0 0"
57,57,"57 58 58 58 0 55 0 0 0 0 0 0 0 56 0 0 58 58 57 52 0 64 64 0 57 0 59 0 61 0 57 0 57 0 54 0 0 0 0"
80,85,"81 74 81 81 0 82 0 0 0 0 0 0 0 78 0 0 78 78 80 76 0 77 84 0 81 0 73 0 84 0 78 0 83 0 80 0 0 0 0"
91,87,"97 96 96 96 0 97 0 0 0 0 0 0 0 92 0 0 95 88 91 91 0 97 92 0 96 0 96 0 91 0 91 0 91 0 91 0 0 0 0"
108,111,"111 103 111 111 0 105 0 0 0 0 0 0 0 102 0 0 101 102 108 112 0 102 110 0 107 0 108 0 112 0 108 0 108 0 104 0 0 0 0"
117,117,"117 117 117 117 0 114 0 0 0 0 0 0 0 113 0 0 114 113 117 118 0 114 120 0 117 0 114 0 121 0 117 0 120 0 116 0 0 0 0"
129,130,"129 131 129 129 0 131 0 0 0 0 0 0 0 129 0 0 130 132 129 130 0 129 131 0 133 0 132 0 130 0 129 0 127 0 130 0 0 0 0"
140,140,"140 137 140 140 0 144 0 0 0 0 0 0 0 140 0 0 136 138 140 141 0 145 138 0 140 0 137 0 135 0 140 0 140 0 141 0 0 0 0"
150,150,"150 147 149 149 0 156 0 0 0 0 0 0 0 146 0 0 148 146 150 146 0 153 148 0 150 0 148 0 148 0 150 0 157 0 154 0 0 0 0"
165,166,"166 166 167 167 0 169 0 0 0 0 0 0 0 168 0 0 169 166 165 159 0 160 163 0 169 0 169 0 160 0 165 0 164 0 165 0 0 0 0"
174,172,"174 175 174 174 0 176 0 0 0 0 0 0 0 174 0 0 174 174 174 172 0 170 170 0 174 0 174 0 172 0 174 0 174 0 173 0 0 0 0"
182,189,"182 187 186 186 0 189 0 0 0 0 0 0 0 180 0 0 182 180 182 184 0 187 182 0 181 0 182 0 182 0 188 0 187 0 182 0 0 0 0"
207,206,"207 203 202 202 0 211 0 0 0 0 0 0 0 211 0 0 210 212 207 203 0 206 208 0 207 0 203 0 207 0 207 0 212 0 200 0 0 0 0"
227,221,"226 228 227 226 0 221 0 0 0 0 0 0 0 223 0 0 224 221 227 228 0 227 228 0 222 0 229 0 220 0 224 0 229 0 226 0 0 0 0"
236,238,"238 239 235 235 0 240 0 0 0 0 0 0 0 236 0 0 240 232 236 237 0 233 232 0 236 0 240 0 236 0 238 0 236 0 235 0 0 0 0"
245,246,"247 245 245 245 0 245 0 0 0 0 0 0 0 245 0 0 244 245 245 242 0 249 241 0 241 0 246 0 243 0 247 0 245 0 245 0 0 0 0"
253,251,"251 255 254 254 0 253 0 0 0 0 0 0 0 253 0 0 252 253 253 253 0 254 253 0 255 0 253 0 257 0 255 0 256 0 256 0 0 0 0"
261,259,"261 261 261 261 0 263 0 0 0 0 0 0 0 267 0 0 259 266 261 265 0 264 264 0 261 0 258 0 257 0 261 0 263 0 260 0 0 0 0"
277,277,"277 277 277 277 0 276 0 0 0 0 0 0 0 274 0 0 276 279 277 281 0 281 282 0 277 0 276 0 279 0 277 0 272 0 271 0 0 0 0"
297,293,"292 299 299 299 0 290 0 0 0 0 0 0 0 295 0 0 295 296 297 296 0 297 296 0 292 0 293 0 291 0 291 0 301 0 297 0 0 0 0"
313,312,"313 311 311 311 0 313 0 0 0 0 0 0 0 315 0 0 310 318 313 314 0 313 314 0 313 0 317 0 314 0 312 0 308 0 306 0 0 0 0"
334,336,"330 333 333 333 0 331 0 0 0 0 0 0 0 334 0 0 334 338 334 335 0 335 334 0 330 0 329 0 328 0 330 0 334 0 332 0 0 0 0"
