KeyFrame,RootKeyFrame,BoneKeyFrames
10,10,"9 0 12 12 12 10 10 8 0 0 7 0 0 0 0 0 0 0 9 7 12 14 0 0 0 0 13 7 12 14 0 0 0 0 9 11 9 10 0 9 13 10 0 0"
34,34,"34 0 37 34 34 34 34 31 0 0 28 0 0 0 0 0 0 0 34 27 30 27 0 0 0 0 34 34 32 36 0 0 0 0 34 34 34 34 0 34 34 34 0 0"
43,47,"49 0 45 45 45 43 43 45 0 0 47 0 0 0 0 0 0 0 47 46 45 44 0 0 0 0 47 45 48 45 0 0 0 0 48 41 42 43 0 39 40 48 0 0"
63,63,"59 0 57 60 60 64 64 61 0 0 61 0 0 0 0 0 0 0 59 59 65 56 0 0 0 0 58 64 68 59 0 0 0 0 59 58 57 61 0 63 62 61 0 0"
74,73,"74 0 72 71 71 74 74 77 0 0 77 0 0 0 0 0 0 0 74 71 69 71 0 0 0 0 71 74 76 71 0 0 0 0 74 78 74 74 0 74 70 70 0 0"
83,82,"82 0 79 80 80 84 84 83 0 0 84 0 0 0 0 0 0 0 82 81 83 82 0 0 0 0 82 79 85 79 0 0 0 0 80 84 82 81 0 85 87 85 0 0"
93,98,"89 0 90 91 91 93 93 94 0 0 96 0 0 0 0 0 0 0 93 91 96 99 0 0 0 0 93 97 93 97 0 0 0 0 91 96 100 99 0 94 93 93 0 0"
118,123,"115 0 121 123 123 118 118 112 0 0 111 0 0 0 0 0 0 0 118 114 111 120 0 0 0 0 115 119 124 112 0 0 0 0 112 117 111 113 0 112 119 119 0 0"
130,135,"132 0 128 132 132 129 129 126 0 0 126 0 0 0 0 0 0 0 130 132 127 134 0 0 0 0 130 128 134 136 0 0 0 0 131 130 129 132 0 127 132 128 0 0"
143,143,"141 0 142 144 144 143 143 146 0 0 145 0 0 0 0 0 0 0 143 137 142 147 0 0 0 0 140 147 142 146 0 0 0 0 138 138 140 146 0 144 143 138 0 0"
151,149,"151 0 150 152 152 150 151 151 0 0 150 0 0 0 0 0 0 0 148 154 151 147 0 0 0 0 148 147 148 151 0 0 0 0 151 151 151 151 0 149 149 149 0 0"
159,160,"157 0 159 159 159 159 159 162 0 0 157 0 0 0 0 0 0 0 159 159 159 158 0 0 0 0 159 164 156 158 0 0 0 0 162 157 158 156 0 160 156 159 0 0"
169,173,"169 0 165 166 166 169 169 169 0 0 169 0 0 0 0 0 0 0 172 174 173 173 0 0 0 0 168 171 170 171 0 0 0 0 169 167 167 169 0 169 169 165 0 0"
179,179,"176 0 179 181 181 180 180 185 0 0 184 0 0 0 0 0 0 0 181 174 180 185 0 0 0 0 180 179 176 179 0 0 0 0 178 178 177 175 0 179 179 179 0 0"
192,188,"189 0 187 195 195 192 192 190 0 0 190 0 0 0 0 0 0 0 192 195 191 192 0 0 0 0 194 192 192 186 0 0 0 0 189 188 186 192 0 188 196 194 0 0"
201,201,"202 0 201 203 203 201 201 204 0 0 203 0 0 0 0 0 0 0 201 204 204 204 0 0 0 0 202 199 199 199 0 0 0 0 198 198 198 199 0 204 205 201 0 0"
217,220,"217 0 220 218 218 217 217 212 0 0 210 0 0 0 0 0 0 0 213 217 221 214 0 0 0 0 219 220 220 220 0 0 0 0 219 216 216 212 0 221 221 221 0 0"
226,226,"224 0 226 226 226 227 226 224 0 0 223 0 0 0 0 0 0 0 224 223 226 223 0 0 0 0 225 226 225 225 0 0 0 0 223 223 225 226 0 225 228 230 0 0"
235,231,"235 0 235 234 234 234 234 235 0 0 234 0 0 0 0 0 0 0 238 236 236 236 0 0 0 0 236 237 231 238 0 0 0 0 231 235 235 235 0 235 234 236 0 0"
245,242,"243 0 244 248 248 246 246 244 0 0 244 0 0 0 0 0 0 0 245 245 243 247 0 0 0 0 245 245 242 245 0 0 0 0 244 247 245 249 0 243 243 241 0 0"
254,251,"256 0 254 258 259 254 254 252 0 0 251 0 0 0 0 0 0 0 253 258 258 258 0 0 0 0 250 250 254 250 0 0 0 0 254 255 252 257 0 253 257 253 0 0"
267,263,"268 0 264 264 264 267 267 263 0 0 264 0 0 0 0 0 0 0 274 264 265 264 0 0 0 0 273 270 266 270 0 0 0 0 266 266 274 269 0 273 268 273 0 0"
293,292,"292 0 297 299 298 293 293 289 0 0 289 0 0 0 0 0 0 0 300 293 290 299 0 0 0 0 292 295 293 295 0 0 0 0 287 291 292 293 0 291 292 297 0 0"
307,304,"305 0 310 310 310 307 307 305 0 0 300 0 0 0 0 0 0 0 307 313 313 313 0 0 0 0 308 303 303 303 0 0 0 0 306 309 307 305 0 304 306 311 0 0"
319,315,"319 0 320 319 319 319 319 324 0 0 323 0 0 0 0 0 0 0 315 313 313 313 0 0 0 0 320 315 315 315 0 0 0 0 314 316 321 322 0 322 319 319 0 0"
331,332,"335 0 335 333 333 331 331 330 0 0 331 0 0 0 0 0 0 0 328 325 325 325 0 0 0 0 331 332 332 332 0 0 0 0 333 329 331 331 0 332 333 330 0 0"
339,339,"335 0 342 339 339 338 338 341 0 0 337 0 0 0 0 0 0 0 342 342 342 338 0 0 0 0 338 340 338 337 0 0 0 0 341 341 340 342 0 341 342 343 0 0"
353,359,"354 0 354 359 359 353 353 357 0 0 357 0 0 0 0 0 0 0 348 350 349 356 0 0 0 0 354 350 351 358 0 0 0 0 359 353 353 352 0 354 355 353 0 0"
374,374,"379 0 369 378 378 374 374 374 0 0 376 0 0 0 0 0 0 0 368 367 367 367 0 0 0 0 375 374 380 374 0 0 0 0 370 369 369 374 0 378 379 378 0 0"
388,391,"393 0 384 387 388 387 388 394 0 0 395 0 0 0 0 0 0 0 385 386 386 394 0 0 0 0 392 391 386 390 0 0 0 0 383 388 392 388 0 395 384 392 0 0"
408,408,"411 0 408 403 403 409 408 412 0 0 409 0 0 0 0 0 0 0 406 411 411 411 0 0 0 0 403 413 412 408 0 0 0 0 408 407 405 407 0 413 408 413 0 0"
422,416,"417 0 421 429 429 422 422 418 0 0 418 0 0 0 0 0 0 0 427 423 423 423 0 0 0 0 420 423 423 422 0 0 0 0 420 427 419 416 0 416 424 429 0 0"
440,437,"439 0 435 438 438 440 440 441 0 0 443 0 0 0 0 0 0 0 436 443 443 443 0 0 0 0 433 440 440 444 0 0 0 0 439 444 433 435 0 438 437 437 0 0"
458,460,"457 0 455 458 458 458 458 462 0 0 462 0 0 0 0 0 0 0 458 451 455 451 0 0 0 0 455 460 458 460 0 0 0 0 460 460 460 454 0 457 460 463 0 0"
473,474,"478 0 473 473 473 473 473 474 0 0 473 0 0 0 0 0 0 0 474 477 477 477 0 0 0 0 474 476 476 476 0 0 0 0 475 476 470 467 0 472 474 478 0 0"
483,484,"478 0 484 486 486 483 483 486 0 0 487 0 0 0 0 0 0 0 484 488 488 488 0 0 0 0 484 486 486 486 0 0 0 0 481 481 484 490 0 483 488 483 0 0"
499,496,"499 0 504 499 499 499 499 503 0 0 497 0 0 0 0 0 0 0 496 499 495 495 0 0 0 0 497 492 492 502 0 0 0 0 504 494 495 499 0 493 501 496 0 0"
510,510,"508 0 510 507 507 510 510 508 0 0 507 0 0 0 0 0 0 0 510 508 508 508 0 0 0 0 508 510 506 510 0 0 0 0 512 512 510 513 0 508 510 507 0 0"
518,518,"525 0 523 519 520 518 518 515 0 0 515 0 0 0 0 0 0 0 523 515 519 515 0 0 0 0 524 517 524 524 0 0 0 0 522 518 516 518 0 521 517 525 0 0"
533,526,"534 0 533 526 534 533 533 533 0 0 532 0 0 0 0 0 0 0 532 533 533 533 0 0 0 0 531 529 529 529 0 0 0 0 535 526 534 536 0 534 538 530 0 0"
545,545,"545 0 545 545 545 545 545 542 0 0 551 0 0 0 0 0 0 0 545 540 540 540 0 0 0 0 545 546 545 550 0 0 0 0 548 545 548 545 0 540 545 550 0 0"
557,558,"551 0 554 556 556 557 557 551 0 0 551 0 0 0 0 0 0 0 559 559 555 556 0 0 0 0 555 558 558 559 0 0 0 0 553 557 553 557 0 555 554 554 0 0"
566,563,"564 0 562 565 565 566 566 571 0 0 563 0 0 0 0 0 0 0 566 565 568 568 0 0 0 0 562 572 562 569 0 0 0 0 564 572 564 566 0 564 563 572 0 0"
578,581,"574 0 579 579 579 578 578 580 0 0 580 0 0 0 0 0 0 0 578 578 582 576 0 0 0 0 581 572 574 577 0 0 0 0 576 572 576 578 0 577 578 577 0 0"
