KeyFrame,RootKeyFrame,BoneKeyFrames
8,7,"8 8 7 7 0 14 0 0 0 0 8 0 0 0 11 0 0 12 11 8 8 0 8 5 8 0 8 0 7 0 8 0 8 0 13 0 0 0"
30,32,"27 25 26 26 0 28 0 0 0 0 30 0 0 0 24 0 0 30 31 30 28 0 27 28 30 0 27 0 29 0 23 0 30 0 30 0 0 0"
39,40,"38 39 43 43 0 38 0 0 0 0 39 0 0 0 39 0 0 38 39 39 40 0 39 42 40 0 39 0 37 0 39 0 39 0 39 0 0 0"
49,49,"49 49 52 52 0 53 0 0 0 0 49 0 0 0 44 0 0 47 45 49 46 0 53 52 49 0 54 0 50 0 51 0 47 0 52 0 0 0"
60,60,"62 60 60 60 0 64 0 0 0 0 60 0 0 0 63 0 0 64 63 60 64 0 59 58 65 0 61 0 61 0 61 0 61 0 63 0 0 0"
74,73,"75 74 78 78 0 78 0 0 0 0 74 0 0 0 76 0 0 80 75 74 80 0 72 80 72 0 78 0 70 0 76 0 70 0 72 0 0 0"
87,81,"92 87 86 86 0 91 0 0 0 0 87 0 0 0 84 0 0 88 91 87 87 0 81 91 92 0 83 0 86 0 87 0 83 0 91 0 0 0"
99,96,"99 99 95 95 0 98 0 0 0 0 99 0 0 0 98 0 0 102 103 99 100 0 103 102 100 0 98 0 98 0 95 0 97 0 102 0 0 0"
125,123,"121 125 118 120 0 128 0 0 0 0 125 0 0 0 131 0 0 121 121 125 130 0 127 120 126 0 124 0 125 0 124 0 124 0 125 0 0 0"
139,141,"144 139 138 138 0 141 0 0 0 0 139 0 0 0 141 0 0 139 139 139 138 0 135 144 138 0 139 0 140 0 142 0 138 0 137 0 0 0"
152,152,"151 152 158 158 0 150 0 0 0 0 152 0 0 0 158 0 0 152 152 152 156 0 152 156 147 0 152 0 158 0 152 0 152 0 157 0 0 0"
164,167,"161 164 158 158 0 170 0 0 0 0 164 0 0 0 158 0 0 164 164 164 168 0 168 159 161 0 161 0 168 0 162 0 161 0 166 0 0 0"
184,185,"183 184 185 185 0 181 0 0 0 0 184 0 0 0 184 0 0 183 184 184 188 0 184 182 188 0 184 0 184 0 186 0 187 0 187 0 0 0"
192,199,"198 192 193 193 0 192 0 0 0 0 192 0 0 0 189 0 0 194 194 192 199 0 190 190 193 0 191 0 192 0 198 0 189 0 192 0 0 0"
209,206,"203 209 216 216 0 209 0 0 0 0 209 0 0 0 215 0 0 212 204 209 212 0 202 215 204 0 209 0 208 0 202 0 209 0 209 0 0 0"
