KeyFrame,RootKeyFrame,BoneKeyFrames
2,2,"5 1 3 3 2 2 2 2 2 2 2 2 2 3 4 2 3 2 4 3 2 5 9 2 5 2 8 2 6 2 6 2 5 2 6 2 2 2 2"
24,17,"17 23 17 17 24 26 24 24 24 24 24 24 24 21 21 24 23 24 21 22 24 24 20 24 22 24 25 24 21 24 24 24 24 24 19 24 24 24 24"
33,31,"33 34 33 33 37 33 33 33 33 33 33 33 33 31 34 33 32 33 33 32 33 37 37 33 33 33 33 33 33 33 36 33 40 33 35 33 33 33 33"
48,53,"50 51 55 55 42 47 48 48 48 48 48 48 48 42 43 48 46 53 49 50 48 50 46 48 51 48 55 48 53 48 46 48 48 48 50 48 48 48 48"
65,61,"66 71 71 71 67 58 65 65 65 65 65 65 65 71 70 65 59 65 69 72 65 60 71 65 60 65 63 65 64 65 72 65 66 65 62 65 65 65 65"
84,83,"84 85 86 86 83 84 84 84 84 84 84 84 84 80 89 84 79 84 89 83 84 84 81 84 84 84 84 84 81 84 84 84 84 84 81 84 84 84 84"
95,92,"93 99 92 92 96 95 95 95 95 95 95 95 95 93 98 95 98 95 93 95 95 95 91 95 94 95 95 95 95 95 93 95 92 95 90 95 95 95 95"
103,103,"103 99 102 102 105 103 103 103 103 103 103 103 103 103 104 103 104 103 100 101 103 101 103 103 103 103 104 103 103 103 104 103 102 103 104 103 103 103 103"
112,118,"112 112 111 111 112 116 112 112 112 112 112 112 112 119 119 112 114 112 108 114 112 112 112 112 112 112 112 112 112 112 113 112 112 112 115 112 112 112 112"
130,129,"135 135 135 135 130 130 130 130 130 130 130 130 130 128 135 130 125 130 130 124 130 129 130 130 135 130 135 130 130 130 135 130 135 130 134 130 130 130 130"
140,138,"135 135 135 135 143 146 140 140 140 140 140 140 140 136 135 140 139 140 139 139 140 136 140 140 135 140 135 140 139 140 135 140 135 140 139 140 140 140 140"
152,146,"154 153 152 152 152 146 152 152 152 152 152 152 152 149 148 152 152 152 159 156 152 148 152 152 159 152 159 152 159 152 155 152 154 152 152 152 152 152 152"
171,167,"171 172 174 174 170 166 171 171 171 171 171 171 171 166 172 171 171 171 167 170 171 166 171 171 171 171 165 171 177 171 164 171 168 171 167 171 171 171 171"
187,185,"188 180 189 189 187 191 187 187 187 187 187 187 187 190 188 187 187 187 185 188 187 183 190 187 184 187 191 187 192 187 180 187 180 187 187 187 187 187 187"
198,203,"204 196 195 195 197 199 198 198 198 198 198 198 198 194 197 198 198 198 199 198 198 197 199 198 199 198 202 198 196 198 203 198 203 198 202 198 198 198 198"
218,222,"213 214 211 211 211 218 218 218 218 218 218 218 218 213 215 218 213 218 213 216 218 212 214 218 220 218 217 218 217 218 218 218 212 218 218 218 218 218 218"
226,222,"225 226 226 226 224 226 226 226 226 226 226 226 226 228 229 226 228 226 227 225 226 225 226 226 224 226 226 226 224 226 226 226 231 226 226 226 226 226 226"
236,236,"236 236 242 242 233 240 236 236 236 236 236 236 236 235 242 236 238 236 241 238 236 235 236 236 238 236 236 236 235 236 232 236 231 236 236 236 236 236 236"
249,250,"256 249 248 248 249 255 249 249 249 249 249 249 249 248 248 249 248 249 251 250 249 251 256 249 253 249 256 249 255 249 244 249 251 249 245 249 249 249 249"
265,261,"262 265 265 265 265 265 265 265 265 265 265 265 265 259 265 265 266 264 260 258 265 258 266 265 259 265 261 265 263 265 268 265 266 265 264 265 265 265 265"
274,280,"280 274 275 275 274 274 274 274 274 274 274 274 274 275 275 274 275 278 274 272 274 273 274 274 279 274 280 274 274 274 274 274 270 274 274 274 274 274 274"
